verein,spieler_id,name,position,punkte,einsaetze,punkte_pro_spiel,marktwert,trend
RB Leipzig,33848,Finkgräfe,Abwehr,0,-,-,490000,fallend (Staerke 2)
RB Leipzig,33436,Raum,Abwehr,11,2 (2),"5,50",8430000,unbekannt
RB Leipzig,34431,Koné,Abwehr,0,-,-,750000,fallend (Staerke 2)
RB Leipzig,34479,Estève,Abwehr,8,1 (1),"8,00",4090000,fallend (Staerke 3)
RB Leipzig,32889,Baku,Abwehr,25,2 (2),"12,50",7160000,steigend (Staerke 3)
RB Leipzig,32581,Klostermann,Abwehr,0,-,-,460000,fallend (Staerke 2)
RB Leipzig,32461,Henrichs,Abwehr,4,1 (1),"4,00",2180000,steigend (Staerke 4)
RB Leipzig,33837,Lukeba,Abwehr,8,1 (1),"8,00",5880000,steigend (Staerke 3)
RB Leipzig,34185,Banzuzi,Mittelfeld,-2,2 (2),"-1,00",4180000,steigend (Staerke 2)
RB Leipzig,34238,Maksimović,Mittelfeld,8,1 (1),"8,00",1290000,fallend (Staerke 1)
RB Leipzig,34348,Kaltefleiter,Mittelfeld,0,-,-,170000,unbekannt
RB Leipzig,34042,Gebel,Mittelfeld,0,-,-,170000,unbekannt
RB Leipzig,34518,El Aynaoui,Mittelfeld,0,1 (1),"0,00",7510000,unbekannt
RB Leipzig,33991,Ouédraogo,Mittelfeld,0,-,-,5590000,steigend (Staerke 4)
RB Leipzig,33769,Seiwald,Mittelfeld,7,2 (2),"3,50",5580000,fallend (Staerke 1)
RB Leipzig,33695,Gruda,Mittelfeld,7,1 (1),"7,00",10320000,steigend (Staerke 1)
RB Leipzig,32977,Baumgartner,Mittelfeld,0,-,-,5170000,fallend (Staerke 3)
RB Leipzig,33353,Reitz,Mittelfeld,12,1 (1),"12,00",6030000,unbekannt
RB Leipzig,34515,Guiu,Sturm,1,1 (1),"1,00",5940000,unbekannt
RB Leipzig,33151,Nkunku,Sturm,10,2 (2),"5,00",15720000,steigend (Staerke 2)
RB Leipzig,34330,Sani,Sturm,0,-,-,170000,unbekannt
RB Leipzig,34309,Konaté,Sturm,1,1 (1),"1,00",500000,unbekannt
RB Leipzig,34271,Rômulo,Sturm,0,-,-,5430000,fallend (Staerke 1)
RB Leipzig,34240,Bakayoko,Sturm,0,2 (2),"0,00",2980000,fallend (Staerke 4)
RB Leipzig,34116,T. Gomis,Sturm,4,2 (2),"2,00",4030000,steigend (Staerke 5)
RB Leipzig,34039,Nusa,Sturm,16,2 (2),"8,00",11830000,steigend (Staerke 1)
Bayer 04 Leverkusen,31827,Blaswich,Torwart,0,-,-,310000,fallend (Staerke 2)
Bayer 04 Leverkusen,32007,Lomb,Torwart,0,-,-,160000,unbekannt
Bayer 04 Leverkusen,32925,Flekken,Torwart,6,2 (2),"3,00",2740000,steigend (Staerke 1)
Bayer 04 Leverkusen,34498,Medina,Abwehr,17,2 (2),"8,50",4710000,steigend (Staerke 1)
Bayer 04 Leverkusen,34496,Gutiérrez,Abwehr,16,2 (2),"8,00",8160000,steigend (Staerke 1)
Bayer 04 Leverkusen,34277,Lucas Vázquez,Abwehr,1,2 (2),"0,50",2200000,fallend (Staerke 3)
Bayer 04 Leverkusen,34272,Badé,Abwehr,8,2 (2),"4,00",2990000,fallend (Staerke 4)
Bayer 04 Leverkusen,34217,Quansah,Abwehr,12,2 (2),"6,00",6140000,steigend (Staerke 3)
Bayer 04 Leverkusen,33630,Oermann,Abwehr,0,-,-,290000,steigend (Staerke 1)
Bayer 04 Leverkusen,34520,Doué,Abwehr,0,-,-,4970000,unbekannt
Bayer 04 Leverkusen,33207,Tapsoba,Abwehr,3,2 (2),"1,50",5280000,fallend (Staerke 4)
Bayer 04 Leverkusen,32080,J. Hofmann,Mittelfeld,4,1 (1),"4,00",2190000,steigend (Staerke 5)
Bayer 04 Leverkusen,32129,Andrich,Mittelfeld,3,1 (1),"3,00",2170000,fallend (Staerke 1)
Bayer 04 Leverkusen,34448,Eichhorn,Mittelfeld,0,-,-,2960000,unbekannt
Bayer 04 Leverkusen,34441,Berghoff,Mittelfeld,0,-,-,170000,fallend (Staerke 1)
Bayer 04 Leverkusen,34289,Fernández,Mittelfeld,16,2 (2),"8,00",4610000,steigend (Staerke 2)
Bayer 04 Leverkusen,33530,Tillman,Mittelfeld,8,2 (2),"4,00",6610000,fallend (Staerke 2)
Bayer 04 Leverkusen,33744,Maza,Mittelfeld,21,2 (2),"10,50",9000000,unbekannt
Bayer 04 Leverkusen,33853,Tella,Mittelfeld,0,-,-,3140000,fallend (Staerke 1)
Bayer 04 Leverkusen,33992,García,Mittelfeld,16,2 (2),"8,00",10540000,fallend (Staerke 1)
Bayer 04 Leverkusen,33179,Schick,Sturm,20,2 (2),"10,00",12830000,fallend (Staerke 1)
Bayer 04 Leverkusen,33827,Boniface,Sturm,3,1 (1),"3,00",3300000,unbekannt
Bayer 04 Leverkusen,34461,Moreira,Sturm,0,2 (2),"0,00",6340000,fallend (Staerke 5)
Bayer 04 Leverkusen,34433,Damjanović,Sturm,0,-,-,230000,fallend (Staerke 1)
Bayer 04 Leverkusen,34428,Bomba,Sturm,0,-,-,170000,fallend (Staerke 1)
Bayer 04 Leverkusen,34311,Culbreath,Sturm,0,-,-,1160000,steigend (Staerke 1)
Bayer 04 Leverkusen,34024,Terrier,Sturm,0,-,-,1310000,fallend (Staerke 2)
Bayer 04 Leverkusen,34234,Kofane,Sturm,9,2 (2),"4,50",5260000,unbekannt
Bayer 04 Leverkusen,33122,Diaby,Sturm,3,1 (1),"3,00",11960000,unbekannt
Bayer 04 Leverkusen,34285,Ben Seghir,Sturm,0,-,-,1090000,fallend (Staerke 1)
VfB Stuttgart,33747,Seimen,Torwart,0,-,-,1550000,fallend (Staerke 2)
VfB Stuttgart,33401,M. Funk,Torwart,0,-,-,160000,unbekannt
VfB Stuttgart,33342,Drljača,Torwart,0,-,-,160000,unbekannt
VfB Stuttgart,32891,Bredlow,Torwart,7,2 (2),"3,50",2710000,steigend (Staerke 4)
VfB Stuttgart,34112,Jaquez,Abwehr,0,-,-,530000,fallend (Staerke 1)
VfB Stuttgart,34050,Al-Dakhil,Abwehr,0,-,-,520000,unbekannt
VfB Stuttgart,34001,Hendriks,Abwehr,4,2 (2),"2,00",2490000,fallend (Staerke 2)
VfB Stuttgart,32509,Mittelstädt,Abwehr,12,2 (2),"6,00",7870000,unbekannt
VfB Stuttgart,32773,Zagadou,Abwehr,0,-,-,610000,fallend (Staerke 1)
VfB Stuttgart,34115,Jeltsch,Abwehr,8,2 (2),"4,00",3560000,steigend (Staerke 1)
VfB Stuttgart,34197,Assignon,Abwehr,0,-,-,610000,steigend (Staerke 1)
VfB Stuttgart,33850,Stergiou,Abwehr,1,1 (1),"1,00",470000,steigend (Staerke 2)
VfB Stuttgart,32880,Vagnoman,Abwehr,24,2 (2),"12,00",4410000,steigend (Staerke 5)
VfB Stuttgart,33552,Chabot,Abwehr,8,2 (2),"4,00",4340000,fallend (Staerke 1)
VfB Stuttgart,34074,Malanga,Mittelfeld,0,-,-,240000,steigend (Staerke 2)
VfB Stuttgart,34288,El Khannouss,Mittelfeld,15,2 (2),"7,50",7200000,steigend (Staerke 2)
VfB Stuttgart,34488,Yigit,Mittelfeld,0,-,-,200000,steigend (Staerke 1)
VfB Stuttgart,32492,Prömel,Mittelfeld,9,2 (2),"4,50",6390000,unbekannt
VfB Stuttgart,34523,Spalt,Mittelfeld,0,1 (0),-,170000,unbekannt
VfB Stuttgart,32830,Nartey,Mittelfeld,0,-,-,1840000,fallend (Staerke 5)
VfB Stuttgart,33437,Stiller,Mittelfeld,4,2 (2),"2,00",8190000,fallend (Staerke 2)
VfB Stuttgart,33411,Leweling,Mittelfeld,2,2 (2),"1,00",6880000,fallend (Staerke 2)
VfB Stuttgart,33085,Karazor,Mittelfeld,0,-,-,1770000,fallend (Staerke 2)
VfB Stuttgart,32858,Führich,Mittelfeld,4,1 (1),"4,00",7580000,steigend (Staerke 1)
VfB Stuttgart,33832,Undav,Sturm,4,2 (2),"2,00",11580000,fallend (Staerke 2)
VfB Stuttgart,34491,Sauer,Sturm,2,1 (1),"2,00",2450000,steigend (Staerke 1)
VfB Stuttgart,34458,van der Leij,Sturm,0,-,-,280000,fallend (Staerke 1)
VfB Stuttgart,33311,Demirović,Sturm,12,2 (2),"6,00",7900000,unbekannt
VfB Stuttgart,33557,Tiago Tomás,Sturm,2,1 (1),"2,00",4210000,fallend (Staerke 1)
VfB Stuttgart,33718,Diehl,Sturm,0,-,-,170000,unbekannt
VfB Stuttgart,33657,Pejčinović,Sturm,4,2 (2),"2,00",10450000,fallend (Staerke 2)
TSG Hoffenheim,31489,Baumann,Torwart,6,2 (2),"3,00",3170000,fallend (Staerke 2)
TSG Hoffenheim,33313,Philipp,Torwart,0,-,-,160000,unbekannt
TSG Hoffenheim,33913,Petersson,Torwart,0,-,-,160000,unbekannt
TSG Hoffenheim,34446,Rots,Abwehr,8,2 (1),"8,00",2480000,fallend (Staerke 2)
TSG Hoffenheim,34340,Engelns,Abwehr,0,-,-,300000,unbekannt
TSG Hoffenheim,34275,Hajdari,Abwehr,-1,2 (2),"-0,50",2720000,fallend (Staerke 4)
TSG Hoffenheim,34457,Dulic,Abwehr,0,-,-,280000,steigend (Staerke 2)
TSG Hoffenheim,34257,Coufal,Abwehr,12,2 (2),"6,00",6150000,fallend (Staerke 1)
TSG Hoffenheim,34213,Machida,Abwehr,0,-,-,500000,fallend (Staerke 2)
TSG Hoffenheim,34051,Gendrey,Abwehr,0,-,-,380000,fallend (Staerke 2)
TSG Hoffenheim,34048,Hranáč,Abwehr,4,2 (2),"2,00",1550000,steigend (Staerke 1)
TSG Hoffenheim,34487,Abraha,Abwehr,0,-,-,260000,fallend (Staerke 1)
TSG Hoffenheim,33026,Kabak,Abwehr,15,2 (2),"7,50",5660000,unbekannt
TSG Hoffenheim,32693,Bernardo,Abwehr,4,1 (1),"4,00",3280000,steigend (Staerke 1)
TSG Hoffenheim,34242,Burger,Mittelfeld,2,2 (2),"1,00",5860000,fallend (Staerke 4)
TSG Hoffenheim,32553,Kramarić,Mittelfeld,0,2 (1),"0,00",8310000,steigend (Staerke 1)
TSG Hoffenheim,34202,Avdullahu,Mittelfeld,14,2 (2),"7,00",5060000,steigend (Staerke 1)
TSG Hoffenheim,34128,Lenz,Mittelfeld,0,-,-,500000,fallend (Staerke 2)
TSG Hoffenheim,34064,Micheler,Mittelfeld,0,-,-,170000,unbekannt
TSG Hoffenheim,34474,De Cat,Mittelfeld,2,2 (2),"1,00",4680000,fallend (Staerke 3)
TSG Hoffenheim,33857,Conté,Mittelfeld,5,2 (2),"2,50",2620000,steigend (Staerke 5)
TSG Hoffenheim,34034,Prass,Mittelfeld,0,-,-,990000,fallend (Staerke 4)
TSG Hoffenheim,34336,Fields,Sturm,0,-,-,170000,unbekannt
TSG Hoffenheim,34294,Daghim,Sturm,11,2 (2),"5,50",5600000,steigend (Staerke 5)
TSG Hoffenheim,33270,Lemperle,Sturm,8,1 (1),"8,00",5420000,steigend (Staerke 4)
TSG Hoffenheim,33507,Wimmer,Sturm,3,2 (2),"1,50",5230000,fallend (Staerke 1)
TSG Hoffenheim,33536,Asllani,Sturm,0,-,-,7160000,fallend (Staerke 3)
TSG Hoffenheim,33619,Hložek,Sturm,7,2 (2),"3,50",3820000,steigend (Staerke 1)
TSG Hoffenheim,33885,Moerstedt,Sturm,-1,2 (2),"-0,50",1900000,fallend (Staerke 2)
Sport-Club Freiburg,33647,Backhaus,Torwart,6,2 (2),"3,00",2650000,fallend (Staerke 3)
Sport-Club Freiburg,32506,Huth,Torwart,0,-,-,160000,unbekannt
Sport-Club Freiburg,32656,F. Müller,Torwart,0,-,-,220000,steigend (Staerke 1)
Sport-Club Freiburg,33815,Rosenfelder,Abwehr,2,1 (1),"2,00",1370000,steigend (Staerke 2)
Sport-Club Freiburg,33829,Makengo,Abwehr,7,2 (2),"3,50",2660000,steigend (Staerke 5)
Sport-Club Freiburg,33947,Treu,Abwehr,12,2 (2),"6,00",2900000,steigend (Staerke 2)
Sport-Club Freiburg,34020,Yılmaz,Abwehr,1,1 (1),"1,00",1030000,fallend (Staerke 2)
Sport-Club Freiburg,34021,Ogbus,Abwehr,0,-,-,930000,fallend (Staerke 3)
Sport-Club Freiburg,32807,Lienhart,Abwehr,10,2 (2),"5,00",3900000,steigend (Staerke 5)
