verein,spieler_id,name,position,punkte,einsaetze,punkte_pro_spiel,marktwert,trend
1. FC Bayern München,30755,Neuer,Torwart,10,2 (2),"5,00",2210000,unbekannt
1. FC Bayern München,34353,Prescott,Torwart,0,-,-,160000,unbekannt
1. FC Bayern München,34284,Bärtl,Torwart,0,-,-,160000,unbekannt
1. FC Bayern München,34101,Klanac,Torwart,0,-,-,160000,unbekannt
1. FC Bayern München,31216,Ulreich,Torwart,0,-,-,160000,unbekannt
1. FC Bayern München,33494,Urbig,Torwart,3,1 (1),"3,00",1180000,steigend (Staerke 1)
1. FC Bayern München,33975,Brown,Abwehr,7,3 (3),"2,33",7490000,steigend (Staerke 1)
1. FC Bayern München,33894,Boey,Abwehr,0,-,-,520000,fallend (Staerke 2)
1. FC Bayern München,33823,Kim,Abwehr,12,2 (2),"6,00",4390000,steigend (Staerke 1)
1. FC Bayern München,33796,Buchmann,Abwehr,0,-,-,180000,unbekannt
1. FC Bayern München,33496,Itō,Abwehr,0,-,-,1200000,steigend (Staerke 1)
1. FC Bayern München,33386,Stanišić,Abwehr,7,2 (2),"3,50",3990000,steigend (Staerke 1)
1. FC Bayern München,32157,Tah,Abwehr,14,2 (2),"7,00",7060000,steigend (Staerke 3)
1. FC Bayern München,34205,Kiala,Abwehr,0,-,-,170000,unbekannt
1. FC Bayern München,32720,Upamecano,Abwehr,29,3 (3),"9,67",8650000,steigend (Staerke 1)
1. FC Bayern München,32800,Laimer,Abwehr,-1,2 (2),"-0,50",5110000,fallend (Staerke 2)
1. FC Bayern München,33021,Davies,Abwehr,23,3 (3),"7,67",7860000,steigend (Staerke 3)
1. FC Bayern München,34357,Osmani,Mittelfeld,0,-,-,210000,fallend (Staerke 1)
1. FC Bayern München,34466,Saibari,Mittelfeld,14,3 (3),"4,67",14900000,fallend (Staerke 3)
1. FC Bayern München,34206,Karl,Mittelfeld,12,3 (3),"4,00",7700000,steigend (Staerke 2)
1. FC Bayern München,34321,Sapoko Ndiaye,Mittelfeld,0,-,-,1440000,fallend (Staerke 4)
1. FC Bayern München,34207,Santos Daiber,Mittelfeld,0,-,-,170000,unbekannt
1. FC Bayern München,33854,Pavlović,Mittelfeld,31,3 (3),"10,33",11620000,unbekannt
1. FC Bayern München,32445,Kimmich,Mittelfeld,27,3 (3),"9,00",16880000,steigend (Staerke 2)
1. FC Bayern München,33504,Bischof,Mittelfeld,9,3 (3),"3,00",5530000,unbekannt
1. FC Bayern München,33236,Musiala,Mittelfeld,2,2 (2),"1,00",14320000,steigend (Staerke 5)
1. FC Bayern München,34014,Olise,Sturm,26,3 (3),"8,67",20380000,steigend (Staerke 1)
1. FC Bayern München,32696,Gnabry,Sturm,0,-,-,8150000,steigend (Staerke 5)
1. FC Bayern München,34350,Cardozo,Sturm,0,-,-,410000,fallend (Staerke 1)
1. FC Bayern München,33838,Kane,Sturm,24,3 (3),"8,00",21490000,steigend (Staerke 1)
1. FC Bayern München,34254,Luis Díaz,Sturm,14,3 (3),"4,67",15010000,fallend (Staerke 1)
1. FC Bayern München,34524,Binder,Sturm,0,-,-,260000,unbekannt
Borussia Dortmund,31988,Drewes,Torwart,0,-,-,160000,unbekannt
Borussia Dortmund,33539,Ostrzinski,Torwart,0,-,-,160000,unbekannt
Borussia Dortmund,32638,Kobel,Torwart,14,3 (3),"4,67",3270000,unbekannt
Borussia Dortmund,32841,Meyer,Torwart,0,-,-,300000,fallend (Staerke 2)
Borussia Dortmund,31935,Can,Abwehr,0,-,-,430000,fallend (Staerke 1)
Borussia Dortmund,34084,Mané,Abwehr,4,2 (2),"2,00",1120000,fallend (Staerke 3)
Borussia Dortmund,34423,Prates,Abwehr,3,1 (1),"3,00",990000,steigend (Staerke 3)
Borussia Dortmund,33167,Bensebaini,Abwehr,3,1 (1),"3,00",4470000,steigend (Staerke 3)
Borussia Dortmund,33141,Ryerson,Abwehr,12,3 (3),"4,00",6070000,fallend (Staerke 3)
Borussia Dortmund,33038,N. Schlotterbeck,Abwehr,7,1 (1),"7,00",9950000,steigend (Staerke 5)
Borussia Dortmund,34422,Gadou,Abwehr,11,3 (3),"3,67",5680000,steigend (Staerke 2)
Borussia Dortmund,34346,Reggiani,Abwehr,2,1 (1),"2,00",980000,steigend (Staerke 1)
Borussia Dortmund,32452,Anton,Abwehr,21,3 (3),"7,00",7350000,steigend (Staerke 1)
Borussia Dortmund,34114,Svensson,Abwehr,22,3 (3),"7,33",7150000,steigend (Staerke 3)
Borussia Dortmund,34424,Lerma,Mittelfeld,0,-,-,380000,fallend (Staerke 2)
Borussia Dortmund,34495,Karetsas,Mittelfeld,11,2 (2),"5,50",17580000,fallend (Staerke 2)
Borussia Dortmund,34503,Konstantelias,Mittelfeld,12,1 (1),"12,00",9560000,fallend (Staerke 4)
Borussia Dortmund,34505,Veerman,Mittelfeld,8,3 (3),"2,67",10560000,unbekannt
Borussia Dortmund,34507,dos Santos,Mittelfeld,0,-,-,750000,steigend (Staerke 2)
Borussia Dortmund,34364,Kaba,Mittelfeld,0,-,-,210000,unbekannt
Borussia Dortmund,34519,Nwaneri,Mittelfeld,9,2 (2),"4,50",9820000,steigend (Staerke 5)
Borussia Dortmund,32590,Sabitzer,Mittelfeld,7,3 (2),"3,50",3720000,steigend (Staerke 2)
Borussia Dortmund,33208,Beier,Mittelfeld,13,3 (3),"4,33",6330000,fallend (Staerke 1)
Borussia Dortmund,33498,F. Nmecha,Mittelfeld,25,3 (3),"8,33",8970000,steigend (Staerke 3)
Borussia Dortmund,34117,Chukwuemeka,Mittelfeld,2,1 (1),"2,00",1900000,steigend (Staerke 1)
Borussia Dortmund,34200,Bellingham,Mittelfeld,21,3 (3),"7,00",9400000,steigend (Staerke 2)
Borussia Dortmund,34283,Fábio Silva,Sturm,17,2 (2),"8,50",8060000,steigend (Staerke 5)
Borussia Dortmund,32667,Guirassy,Sturm,29,3 (3),"9,67",16050000,steigend (Staerke 1)
Borussia Dortmund,34347,Inácio,Sturm,-4,1 (1),"-4,00",3680000,steigend (Staerke 2)
Borussia Dortmund,34362,Albert,Sturm,0,-,-,1510000,steigend (Staerke 4)
RB Leipzig,33919,Vandevoordt,Torwart,17,3 (3),"5,67",2680000,fallend (Staerke 2)
RB Leipzig,32267,Zingerle,Torwart,0,-,-,160000,unbekannt
RB Leipzig,32481,Nyland,Torwart,0,-,-,540000,fallend (Staerke 1)
RB Leipzig,34479,Estève,Abwehr,11,2 (2),"5,50",4590000,fallend (Staerke 1)
RB Leipzig,34431,Koné,Abwehr,0,-,-,560000,fallend (Staerke 2)
RB Leipzig,31846,W. Orbán,Abwehr,25,3 (3),"8,33",6400000,fallend (Staerke 3)
RB Leipzig,33848,Finkgräfe,Abwehr,2,1 (1),"2,00",470000,steigend (Staerke 1)
RB Leipzig,33837,Lukeba,Abwehr,8,2 (2),"4,00",5200000,unbekannt
RB Leipzig,33436,Raum,Abwehr,15,3 (3),"5,00",8730000,unbekannt
RB Leipzig,32461,Henrichs,Abwehr,8,2 (2),"4,00",2520000,steigend (Staerke 2)
RB Leipzig,32581,Klostermann,Abwehr,0,-,-,490000,steigend (Staerke 2)
RB Leipzig,32889,Baku,Abwehr,27,3 (3),"9,00",7710000,unbekannt
RB Leipzig,33353,Reitz,Mittelfeld,12,1 (1),"12,00",4650000,fallend (Staerke 2)
RB Leipzig,34348,Kaltefleiter,Mittelfeld,0,-,-,200000,steigend (Staerke 1)
RB Leipzig,34238,Maksimović,Mittelfeld,8,1 (1),"8,00",2780000,steigend (Staerke 5)
RB Leipzig,34185,Banzuzi,Mittelfeld,4,3 (3),"1,33",3910000,unbekannt
RB Leipzig,34042,Gebel,Mittelfeld,0,-,-,170000,unbekannt
RB Leipzig,34518,El Aynaoui,Mittelfeld,8,2 (2),"4,00",6070000,fallend (Staerke 2)
RB Leipzig,33991,Ouédraogo,Mittelfeld,6,1 (1),"6,00",5830000,fallend (Staerke 1)
RB Leipzig,32977,Baumgartner,Mittelfeld,0,-,-,5430000,unbekannt
RB Leipzig,33695,Gruda,Mittelfeld,11,2 (2),"5,50",10340000,unbekannt
RB Leipzig,33769,Seiwald,Mittelfeld,7,2 (2),"3,50",5350000,fallend (Staerke 2)
RB Leipzig,34515,Guiu,Sturm,1,1 (1),"1,00",5660000,fallend (Staerke 1)
RB Leipzig,33151,Nkunku,Sturm,22,3 (3),"7,33",17380000,steigend (Staerke 1)
RB Leipzig,34309,Konaté,Sturm,1,1 (1),"1,00",570000,steigend (Staerke 1)
RB Leipzig,34271,Rômulo,Sturm,10,1 (1),"10,00",6090000,steigend (Staerke 3)
RB Leipzig,34240,Bakayoko,Sturm,0,2 (2),"0,00",2390000,fallend (Staerke 2)
RB Leipzig,34116,T. Gomis,Sturm,15,3 (3),"5,00",4300000,steigend (Staerke 2)
RB Leipzig,34039,Nusa,Sturm,31,3 (3),"10,33",11800000,steigend (Staerke 1)
Bayer 04 Leverkusen,31827,Blaswich,Torwart,0,-,-,280000,fallend (Staerke 1)
Bayer 04 Leverkusen,32007,Lomb,Torwart,0,-,-,160000,unbekannt
Bayer 04 Leverkusen,32925,Flekken,Torwart,9,3 (3),"3,00",2300000,fallend (Staerke 2)
Bayer 04 Leverkusen,34498,Medina,Abwehr,18,3 (3),"6,00",6530000,steigend (Staerke 5)
Bayer 04 Leverkusen,34496,Gutiérrez,Abwehr,19,3 (3),"6,33",8470000,fallend (Staerke 1)
Bayer 04 Leverkusen,34277,Lucas Vázquez,Abwehr,3,3 (3),"1,00",1680000,fallend (Staerke 3)
Bayer 04 Leverkusen,34272,Badé,Abwehr,8,2 (2),"4,00",2970000,fallend (Staerke 1)
Bayer 04 Leverkusen,34217,Quansah,Abwehr,15,3 (3),"5,00",5460000,fallend (Staerke 3)
Bayer 04 Leverkusen,33630,Oermann,Abwehr,0,-,-,270000,fallend (Staerke 1)
Bayer 04 Leverkusen,34520,Doué,Abwehr,2,1 (1),"2,00",5920000,steigend (Staerke 1)
Bayer 04 Leverkusen,33207,Tapsoba,Abwehr,11,3 (3),"3,67",6120000,steigend (Staerke 3)
Bayer 04 Leverkusen,32080,J. Hofmann,Mittelfeld,4,1 (1),"4,00",1790000,fallend (Staerke 2)
Bayer 04 Leverkusen,32129,Andrich,Mittelfeld,3,1 (1),"3,00",2040000,fallend (Staerke 1)
Bayer 04 Leverkusen,34448,Eichhorn,Mittelfeld,0,-,-,2470000,fallend (Staerke 3)
Bayer 04 Leverkusen,34441,Berghoff,Mittelfeld,0,-,-,180000,unbekannt
Bayer 04 Leverkusen,34289,Fernández,Mittelfeld,20,3 (3),"6,67",6660000,steigend (Staerke 4)
Bayer 04 Leverkusen,33530,Tillman,Mittelfeld,11,3 (3),"3,67",5060000,fallend (Staerke 3)
Bayer 04 Leverkusen,33744,Maza,Mittelfeld,23,3 (3),"7,67",11430000,steigend (Staerke 3)
Bayer 04 Leverkusen,33853,Tella,Mittelfeld,0,-,-,2160000,fallend (Staerke 4)
Bayer 04 Leverkusen,33992,García,Mittelfeld,25,3 (3),"8,33",12050000,steigend (Staerke 2)
Bayer 04 Leverkusen,33179,Schick,Sturm,30,3 (3),"10,00",14260000,steigend (Staerke 1)
Bayer 04 Leverkusen,33827,Boniface,Sturm,3,1 (1),"3,00",2100000,fallend (Staerke 5)
Bayer 04 Leverkusen,34461,Moreira,Sturm,4,3 (3),"1,33",6650000,unbekannt
Bayer 04 Leverkusen,34433,Damjanović,Sturm,0,-,-,190000,fallend (Staerke 1)
Bayer 04 Leverkusen,34428,Bomba,Sturm,0,-,-,160000,unbekannt
Bayer 04 Leverkusen,34311,Culbreath,Sturm,0,-,-,990000,fallend (Staerke 1)
Bayer 04 Leverkusen,34024,Terrier,Sturm,2,1 (1),"2,00",1670000,steigend (Staerke 5)
Bayer 04 Leverkusen,34234,Kofane,Sturm,16,3 (3),"5,33",6610000,steigend (Staerke 5)
Bayer 04 Leverkusen,33122,Diaby,Sturm,6,2 (2),"3,00",13780000,unbekannt
Bayer 04 Leverkusen,34285,Ben Seghir,Sturm,0,-,-,1630000,steigend (Staerke 3)
VfB Stuttgart,33747,Seimen,Torwart,0,-,-,1690000,steigend (Staerke 1)
VfB Stuttgart,33401,M. Funk,Torwart,0,-,-,160000,unbekannt
VfB Stuttgart,33342,Drljača,Torwart,0,-,-,160000,unbekannt
VfB Stuttgart,32891,Bredlow,Torwart,15,3 (3),"5,00",2610000,fallend (Staerke 1)
VfB Stuttgart,34112,Jaquez,Abwehr,0,-,-,570000,steigend (Staerke 1)
VfB Stuttgart,34050,Al-Dakhil,Abwehr,0,-,-,400000,fallend (Staerke 2)
VfB Stuttgart,34001,Hendriks,Abwehr,9,3 (3),"3,00",2550000,steigend (Staerke 2)
VfB Stuttgart,32509,Mittelstädt,Abwehr,28,3 (3),"9,33",8620000,steigend (Staerke 1)
VfB Stuttgart,32773,Zagadou,Abwehr,0,-,-,590000,unbekannt
VfB Stuttgart,34115,Jeltsch,Abwehr,10,3 (3),"3,33",4250000,steigend (Staerke 3)
VfB Stuttgart,34197,Assignon,Abwehr,0,-,-,570000,fallend (Staerke 1)
VfB Stuttgart,33850,Stergiou,Abwehr,1,1 (1),"1,00",440000,unbekannt
VfB Stuttgart,32880,Vagnoman,Abwehr,29,3 (3),"9,67",6730000,steigend (Staerke 5)
VfB Stuttgart,33552,Chabot,Abwehr,13,3 (3),"4,33",5320000,steigend (Staerke 3)
VfB Stuttgart,34074,Malanga,Mittelfeld,0,-,-,210000,unbekannt
VfB Stuttgart,34288,El Khannouss,Mittelfeld,20,3 (3),"6,67",9220000,steigend (Staerke 3)
VfB Stuttgart,34488,Yigit,Mittelfeld,0,-,-,210000,unbekannt
VfB Stuttgart,32492,Prömel,Mittelfeld,10,3 (3),"3,33",6920000,steigend (Staerke 1)
VfB Stuttgart,34523,Spalt,Mittelfeld,6,2 (1),"6,00",700000,steigend (Staerke 5)
VfB Stuttgart,32830,Nartey,Mittelfeld,0,-,-,2070000,steigend (Staerke 2)
VfB Stuttgart,33437,Stiller,Mittelfeld,4,3 (3),"1,33",7630000,fallend (Staerke 1)
VfB Stuttgart,33411,Leweling,Mittelfeld,4,3 (3),"1,33",6210000,fallend (Staerke 2)
VfB Stuttgart,33085,Karazor,Mittelfeld,0,-,-,1530000,fallend (Staerke 2)
VfB Stuttgart,32858,Führich,Mittelfeld,8,2 (2),"4,00",7620000,fallend (Staerke 1)
VfB Stuttgart,33832,Undav,Sturm,5,3 (3),"1,67",11090000,fallend (Staerke 1)
VfB Stuttgart,34491,Sauer,Sturm,3,2 (2),"1,50",2730000,unbekannt
VfB Stuttgart,34458,van der Leij,Sturm,0,-,-,320000,steigend (Staerke 1)
VfB Stuttgart,33311,Demirović,Sturm,11,3 (3),"3,67",9800000,steigend (Staerke 3)
VfB Stuttgart,33557,Tiago Tomás,Sturm,2,1 (1),"2,00",2650000,fallend (Staerke 4)
VfB Stuttgart,33718,Diehl,Sturm,0,-,-,160000,unbekannt
VfB Stuttgart,33657,Pejčinović,Sturm,6,3 (3),"2,00",8670000,fallend (Staerke 4)
TSG Hoffenheim,31489,Baumann,Torwart,13,3 (3),"4,33",2830000,fallend (Staerke 1)
TSG Hoffenheim,33313,Philipp,Torwart,0,-,-,160000,unbekannt
TSG Hoffenheim,33913,Petersson,Torwart,0,-,-,160000,unbekannt
TSG Hoffenheim,34446,Rots,Abwehr,13,3 (2),"6,50",3760000,steigend (Staerke 5)
TSG Hoffenheim,34340,Engelns,Abwehr,0,-,-,260000,fallend (Staerke 1)
TSG Hoffenheim,34275,Hajdari,Abwehr,2,3 (3),"0,67",3320000,steigend (Staerke 2)
TSG Hoffenheim,34457,Dulic,Abwehr,0,-,-,230000,fallend (Staerke 1)
TSG Hoffenheim,34257,Coufal,Abwehr,14,3 (3),"4,67",5820000,fallend (Staerke 1)
TSG Hoffenheim,34213,Machida,Abwehr,3,1 (1),"3,00",960000,steigend (Staerke 5)
TSG Hoffenheim,34051,Gendrey,Abwehr,4,1 (1),"4,00",580000,steigend (Staerke 5)
TSG Hoffenheim,34048,Hranáč,Abwehr,4,2 (2),"2,00",1490000,unbekannt
TSG Hoffenheim,34487,Abraha,Abwehr,0,-,-,280000,steigend (Staerke 1)
TSG Hoffenheim,33026,Kabak,Abwehr,22,3 (3),"7,33",5590000,unbekannt
TSG Hoffenheim,32693,Bernardo,Abwehr,4,1 (1),"4,00",2200000,fallend (Staerke 5)
TSG Hoffenheim,34242,Burger,Mittelfeld,4,3 (3),"1,33",5690000,unbekannt
TSG Hoffenheim,32553,Kramarić,Mittelfeld,2,3 (2),"1,00",6770000,fallend (Staerke 4)
TSG Hoffenheim,34202,Avdullahu,Mittelfeld,17,3 (3),"5,67",5920000,steigend (Staerke 1)
TSG Hoffenheim,34128,Lenz,Mittelfeld,0,-,-,400000,fallend (Staerke 2)
TSG Hoffenheim,34064,Micheler,Mittelfeld,0,-,-,190000,unbekannt
TSG Hoffenheim,34474,De Cat,Mittelfeld,2,2 (2),"1,00",4020000,fallend (Staerke 2)
TSG Hoffenheim,33857,Conté,Mittelfeld,12,3 (3),"4,00",3400000,steigend (Staerke 4)
TSG Hoffenheim,34034,Prass,Mittelfeld,0,-,-,1350000,steigend (Staerke 4)
TSG Hoffenheim,34336,Fields,Sturm,0,-,-,190000,unbekannt
TSG Hoffenheim,34294,Daghim,Sturm,19,3 (3),"6,33",6640000,steigend (Staerke 3)
TSG Hoffenheim,33270,Lemperle,Sturm,11,2 (2),"5,50",6740000,steigend (Staerke 2)
TSG Hoffenheim,33507,Wimmer,Sturm,10,3 (3),"3,33",5220000,steigend (Staerke 2)
TSG Hoffenheim,33536,Asllani,Sturm,4,1 (1),"4,00",8620000,steigend (Staerke 3)
TSG Hoffenheim,33619,Hložek,Sturm,20,3 (3),"6,67",5580000,steigend (Staerke 5)
TSG Hoffenheim,33885,Moerstedt,Sturm,-1,2 (2),"-0,50",1330000,fallend (Staerke 4)
Sport-Club Freiburg,33647,Backhaus,Torwart,12,3 (3),"4,00",3010000,steigend (Staerke 1)
Sport-Club Freiburg,32506,Huth,Torwart,0,-,-,160000,unbekannt
Sport-Club Freiburg,32656,F. Müller,Torwart,0,-,-,180000,fallend (Staerke 1)
Sport-Club Freiburg,33815,Rosenfelder,Abwehr,2,1 (1),"2,00",1170000,fallend (Staerke 2)
Sport-Club Freiburg,33829,Makengo,Abwehr,15,3 (3),"5,00",3830000,steigend (Staerke 5)
Sport-Club Freiburg,33947,Treu,Abwehr,16,3 (3),"5,33",4150000,steigend (Staerke 3)
Sport-Club Freiburg,34020,Yılmaz,Abwehr,1,1 (1),"1,00",1020000,fallend (Staerke 1)
Sport-Club Freiburg,34021,Ogbus,Abwehr,0,-,-,830000,unbekannt
