verein,spieler_id,name,position,punkte,einsaetze,punkte_pro_spiel,marktwert,trend
1. FC Bayern München,30755,Neuer,Torwart,16,3 (3),"5,33",2140000,fallend (Staerke 3)
1. FC Bayern München,31216,Ulreich,Torwart,0,-,-,160000,unbekannt
1. FC Bayern München,33494,Urbig,Torwart,3,1 (1),"3,00",1300000,steigend (Staerke 2)
1. FC Bayern München,34205,Kiala,Abwehr,0,-,-,180000,unbekannt
1. FC Bayern München,33975,Brown,Abwehr,10,4 (4),"2,50",6090000,fallend (Staerke 4)
1. FC Bayern München,33894,Boey,Abwehr,0,-,-,470000,fallend (Staerke 2)
1. FC Bayern München,33823,Kim,Abwehr,15,3 (3),"5,00",4420000,steigend (Staerke 2)
1. FC Bayern München,33796,Buchmann,Abwehr,0,-,-,170000,fallend (Staerke 1)
1. FC Bayern München,33496,Itō,Abwehr,0,-,-,1240000,unbekannt
1. FC Bayern München,33386,Stanišić,Abwehr,8,3 (3),"2,67",4190000,steigend (Staerke 2)
1. FC Bayern München,33021,Davies,Abwehr,34,4 (4),"8,50",8250000,steigend (Staerke 2)
1. FC Bayern München,32800,Laimer,Abwehr,-1,2 (2),"-0,50",4400000,fallend (Staerke 3)
1. FC Bayern München,32720,Upamecano,Abwehr,32,4 (4),"8,00",8790000,unbekannt
1. FC Bayern München,32157,Tah,Abwehr,22,3 (3),"7,33",6900000,unbekannt
1. FC Bayern München,33236,Musiala,Mittelfeld,15,3 (3),"5,00",14730000,steigend (Staerke 5)
1. FC Bayern München,34207,Santos Daiber,Mittelfeld,0,-,-,170000,unbekannt
1. FC Bayern München,34206,Karl,Mittelfeld,12,3 (3),"4,00",8110000,steigend (Staerke 2)
1. FC Bayern München,32445,Kimmich,Mittelfeld,34,4 (4),"8,50",15530000,unbekannt
1. FC Bayern München,34357,Osmani,Mittelfeld,0,-,-,310000,steigend (Staerke 4)
1. FC Bayern München,33854,Pavlović,Mittelfeld,38,4 (4),"9,50",12800000,steigend (Staerke 2)
1. FC Bayern München,34466,Saibari,Mittelfeld,26,4 (4),"6,50",15620000,fallend (Staerke 1)
1. FC Bayern München,33504,Bischof,Mittelfeld,17,4 (4),"4,25",5660000,fallend (Staerke 1)
1. FC Bayern München,34321,Sapoko Ndiaye,Mittelfeld,0,-,-,1250000,fallend (Staerke 4)
1. FC Bayern München,34350,Cardozo,Sturm,0,-,-,380000,fallend (Staerke 1)
1. FC Bayern München,34254,Luis Díaz,Sturm,17,4 (4),"4,25",15510000,steigend (Staerke 1)
1. FC Bayern München,34014,Olise,Sturm,47,4 (4),"11,75",22060000,steigend (Staerke 2)
1. FC Bayern München,32696,Gnabry,Sturm,2,1 (1),"2,00",8600000,steigend (Staerke 4)
1. FC Bayern München,33838,Kane,Sturm,36,4 (4),"9,00",26480000,steigend (Staerke 3)
1. FC Bayern München,34524,Binder,Sturm,0,-,-,560000,steigend (Staerke 5)
Borussia Dortmund,31988,Drewes,Torwart,0,-,-,160000,unbekannt
Borussia Dortmund,33539,Ostrzinski,Torwart,0,-,-,160000,unbekannt
Borussia Dortmund,32638,Kobel,Torwart,14,3 (3),"4,67",3170000,fallend (Staerke 1)
Borussia Dortmund,32841,Meyer,Torwart,0,-,-,320000,fallend (Staerke 1)
Borussia Dortmund,31935,Can,Abwehr,0,-,-,390000,fallend (Staerke 1)
Borussia Dortmund,34084,Mané,Abwehr,4,2 (2),"2,00",1050000,fallend (Staerke 2)
Borussia Dortmund,34423,Prates,Abwehr,3,1 (1),"3,00",850000,fallend (Staerke 1)
Borussia Dortmund,33167,Bensebaini,Abwehr,3,1 (1),"3,00",3610000,fallend (Staerke 2)
Borussia Dortmund,33141,Ryerson,Abwehr,12,3 (3),"4,00",4860000,fallend (Staerke 4)
Borussia Dortmund,33038,N. Schlotterbeck,Abwehr,7,1 (1),"7,00",10570000,steigend (Staerke 3)
Borussia Dortmund,34422,Gadou,Abwehr,11,3 (3),"3,67",4880000,fallend (Staerke 3)
Borussia Dortmund,34346,Reggiani,Abwehr,2,1 (1),"2,00",940000,fallend (Staerke 1)
Borussia Dortmund,32452,Anton,Abwehr,21,3 (3),"7,00",7080000,unbekannt
Borussia Dortmund,34114,Svensson,Abwehr,22,3 (3),"7,33",6810000,steigend (Staerke 1)
Borussia Dortmund,34424,Lerma,Mittelfeld,0,-,-,330000,fallend (Staerke 1)
Borussia Dortmund,34495,Karetsas,Mittelfeld,11,2 (2),"5,50",17060000,steigend (Staerke 1)
Borussia Dortmund,34503,Konstantelias,Mittelfeld,12,1 (1),"12,00",10230000,unbekannt
Borussia Dortmund,34505,Veerman,Mittelfeld,8,3 (3),"2,67",10240000,fallend (Staerke 2)
Borussia Dortmund,34507,dos Santos,Mittelfeld,0,-,-,650000,fallend (Staerke 2)
Borussia Dortmund,34364,Kaba,Mittelfeld,0,-,-,220000,unbekannt
Borussia Dortmund,34519,Nwaneri,Mittelfeld,9,2 (2),"4,50",9780000,steigend (Staerke 2)
Borussia Dortmund,32590,Sabitzer,Mittelfeld,7,3 (2),"3,50",3550000,fallend (Staerke 1)
Borussia Dortmund,33208,Beier,Mittelfeld,13,3 (3),"4,33",6200000,fallend (Staerke 2)
Borussia Dortmund,33498,F. Nmecha,Mittelfeld,25,3 (3),"8,33",9730000,steigend (Staerke 5)
Borussia Dortmund,34117,Chukwuemeka,Mittelfeld,2,1 (1),"2,00",1930000,unbekannt
Borussia Dortmund,34200,Bellingham,Mittelfeld,21,3 (3),"7,00",8550000,fallend (Staerke 1)
Borussia Dortmund,34283,Fábio Silva,Sturm,17,2 (2),"8,50",9460000,steigend (Staerke 5)
Borussia Dortmund,32667,Guirassy,Sturm,29,3 (3),"9,67",15340000,fallend (Staerke 1)
Borussia Dortmund,34347,Inácio,Sturm,-4,1 (1),"-4,00",3580000,steigend (Staerke 1)
Borussia Dortmund,34362,Albert,Sturm,0,-,-,1350000,unbekannt
RB Leipzig,33919,Vandevoordt,Torwart,17,3 (3),"5,67",2880000,steigend (Staerke 1)
RB Leipzig,32267,Zingerle,Torwart,0,-,-,160000,unbekannt
RB Leipzig,32481,Nyland,Torwart,0,-,-,670000,steigend (Staerke 3)
RB Leipzig,34479,Estève,Abwehr,11,2 (2),"5,50",4230000,fallend (Staerke 2)
RB Leipzig,34431,Koné,Abwehr,0,-,-,580000,unbekannt
RB Leipzig,31846,W. Orbán,Abwehr,25,3 (3),"8,33",7100000,steigend (Staerke 2)
RB Leipzig,33848,Finkgräfe,Abwehr,2,1 (1),"2,00",500000,steigend (Staerke 1)
RB Leipzig,33837,Lukeba,Abwehr,8,2 (2),"4,00",4870000,fallend (Staerke 2)
RB Leipzig,33436,Raum,Abwehr,15,3 (3),"5,00",8700000,unbekannt
RB Leipzig,32461,Henrichs,Abwehr,8,2 (2),"4,00",2780000,steigend (Staerke 3)
RB Leipzig,32581,Klostermann,Abwehr,0,-,-,440000,fallend (Staerke 1)
RB Leipzig,32889,Baku,Abwehr,27,3 (3),"9,00",7760000,unbekannt
RB Leipzig,33353,Reitz,Mittelfeld,12,1 (1),"12,00",4980000,steigend (Staerke 2)
RB Leipzig,34348,Kaltefleiter,Mittelfeld,0,-,-,200000,unbekannt
RB Leipzig,34238,Maksimović,Mittelfeld,8,1 (1),"8,00",3120000,steigend (Staerke 5)
RB Leipzig,34185,Banzuzi,Mittelfeld,4,3 (3),"1,33",4080000,steigend (Staerke 3)
RB Leipzig,34042,Gebel,Mittelfeld,0,-,-,200000,unbekannt
RB Leipzig,34518,El Aynaoui,Mittelfeld,8,2 (2),"4,00",6560000,steigend (Staerke 3)
RB Leipzig,33991,Ouédraogo,Mittelfeld,6,1 (1),"6,00",4340000,fallend (Staerke 5)
RB Leipzig,32977,Baumgartner,Mittelfeld,0,-,-,6450000,steigend (Staerke 3)
RB Leipzig,33695,Gruda,Mittelfeld,11,2 (2),"5,50",9310000,fallend (Staerke 1)
RB Leipzig,33769,Seiwald,Mittelfeld,7,2 (2),"3,50",4050000,fallend (Staerke 5)
RB Leipzig,34515,Guiu,Sturm,1,1 (1),"1,00",4330000,fallend (Staerke 4)
RB Leipzig,33151,Nkunku,Sturm,22,3 (3),"7,33",18340000,steigend (Staerke 3)
RB Leipzig,34309,Konaté,Sturm,1,1 (1),"1,00",650000,steigend (Staerke 2)
RB Leipzig,34271,Rômulo,Sturm,10,1 (1),"10,00",6840000,steigend (Staerke 5)
RB Leipzig,34240,Bakayoko,Sturm,0,2 (2),"0,00",1810000,fallend (Staerke 5)
RB Leipzig,34116,T. Gomis,Sturm,15,3 (3),"5,00",5190000,steigend (Staerke 5)
RB Leipzig,34039,Nusa,Sturm,31,3 (3),"10,33",12680000,steigend (Staerke 3)
Bayer 04 Leverkusen,31827,Blaswich,Torwart,0,-,-,280000,fallend (Staerke 1)
Bayer 04 Leverkusen,32007,Lomb,Torwart,0,-,-,160000,unbekannt
Bayer 04 Leverkusen,32925,Flekken,Torwart,9,3 (3),"3,00",2110000,fallend (Staerke 3)
Bayer 04 Leverkusen,34498,Medina,Abwehr,18,3 (3),"6,00",6690000,steigend (Staerke 2)
Bayer 04 Leverkusen,34496,Gutiérrez,Abwehr,19,3 (3),"6,33",8630000,fallend (Staerke 2)
Bayer 04 Leverkusen,34277,Lucas Vázquez,Abwehr,3,3 (3),"1,00",1630000,fallend (Staerke 2)
Bayer 04 Leverkusen,34272,Badé,Abwehr,8,2 (2),"4,00",3030000,fallend (Staerke 1)
Bayer 04 Leverkusen,34217,Quansah,Abwehr,15,3 (3),"5,00",4910000,fallend (Staerke 5)
Bayer 04 Leverkusen,34520,Doué,Abwehr,2,1 (1),"2,00",5000000,fallend (Staerke 3)
Bayer 04 Leverkusen,33630,Oermann,Abwehr,0,-,-,260000,fallend (Staerke 1)
Bayer 04 Leverkusen,33207,Tapsoba,Abwehr,11,3 (3),"3,67",5960000,steigend (Staerke 1)
Bayer 04 Leverkusen,33744,Maza,Mittelfeld,23,3 (3),"7,67",10310000,fallend (Staerke 1)
