spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,1410000,63,"2,86",22381,493007
34101,Klanac,1. FC Bayern München,160000,0,-,,
34284,Bärtl,1. FC Bayern München,160000,0,-,,
34353,Prescott,1. FC Bayern München,160000,0,-,,
31216,Ulreich,1. FC Bayern München,170000,6,"6,00",28333,28333
33494,Urbig,1. FC Bayern München,1510000,52,"3,71",29038,407008
34205,Kiala,1. FC Bayern München,190000,0,-,,
33975,Brown,1. FC Bayern München,8140000,141,"4,27",57730,1906323
33894,Boey,1. FC Bayern München,310000,15,"1,67",20667,185629
33823,Kim,1. FC Bayern München,2460000,112,"5,33",21964,461538
33796,Buchmann,1. FC Bayern München,170000,0,-,,
33496,Itō,1. FC Bayern München,1330000,60,"3,75",22167,354667
32720,Upamecano,1. FC Bayern München,6010000,107,"4,46",56168,1347534
33386,Stanišić,1. FC Bayern München,4820000,123,"4,73",39187,1019027
32157,Tah,1. FC Bayern München,6650000,130,"4,81",51154,1382536
32800,Laimer,1. FC Bayern München,6180000,131,"4,52",47176,1367257
33021,Davies,1. FC Bayern München,3660000,45,"3,46",81333,1057803
34206,Karl,1. FC Bayern München,9060000,115,"4,60",78783,1969565
34207,Santos Daiber,1. FC Bayern München,200000,4,"2,00",50000,100000
32445,Kimmich,1. FC Bayern München,14790000,217,"7,48",68157,1977273
34328,Chávez,1. FC Bayern München,530000,20,"2,22",26500,238739
34357,Osmani,1. FC Bayern München,280000,0,-,,
33504,Bischof,1. FC Bayern München,6000000,123,"5,35",48780,1121495
34018,João Palhinha,1. FC Bayern München,380000,0,-,,
34466,Saibari,1. FC Bayern München,14930000,0,-,,
33713,Ibrahimović,1. FC Bayern München,2560000,126,"4,06",20317,630542
33236,Musiala,1. FC Bayern München,16370000,62,"4,13",264032,3963680
33854,Pavlović,1. FC Bayern München,6860000,128,"5,33",53594,1287054
34254,Luis Díaz,1. FC Bayern München,15970000,227,"7,09",70352,2252468
34261,Mike,1. FC Bayern München,590000,6,"2,00",98333,295000
33898,Zaragoza,1. FC Bayern München,200000,0,-,,
33838,Kane,1. FC Bayern München,22830000,338,"10,90",67544,2094495
34350,Cardozo,1. FC Bayern München,470000,2,"2,00",235000,235000
34006,Sieb,1. FC Bayern München,600000,44,"2,10",13636,285714
32696,Gnabry,1. FC Bayern München,6480000,124,"5,90",52258,1098305
34014,Olise,1. FC Bayern München,18470000,268,"8,38",68918,2204057
33440,Ramaj,Borussia Dortmund,340000,105,"3,39",3238,100295
33539,Ostrzinski,Borussia Dortmund,160000,0,-,,
32841,Meyer,Borussia Dortmund,490000,0,-,,
32638,Kobel,Borussia Dortmund,3160000,124,"3,65",25484,865753
31988,Drewes,Borussia Dortmund,170000,0,-,,
34422,Gadou,Borussia Dortmund,4370000,0,-,,
34346,Reggiani,Borussia Dortmund,1350000,26,"3,71",51923,363881
34423,Prates,Borussia Dortmund,790000,0,-,,
34114,Svensson,Borussia Dortmund,4650000,125,"3,79",37200,1226913
34084,Mané,Borussia Dortmund,290000,-2,"-1,00",-145000,-290000
34066,Kabar,Borussia Dortmund,370000,3,"3,00",123333,123333
31935,Can,Borussia Dortmund,640000,50,"5,56",12800,115108
33167,Bensebaini,Borussia Dortmund,4310000,123,"6,15",35041,700813
33141,Ryerson,Borussia Dortmund,5050000,128,"4,27",39453,1182670
33038,N. Schlotterbeck,Borussia Dortmund,6200000,188,"6,71",32979,923994
32452,Anton,Borussia Dortmund,6040000,162,"5,06",37284,1193676
33498,F. Nmecha,Borussia Dortmund,8210000,108,"3,72",76019,2206989
34424,Lerma,Borussia Dortmund,1830000,0,-,,
32590,Sabitzer,Borussia Dortmund,2710000,98,"3,92",27653,691327
34364,Kaba,Borussia Dortmund,400000,0,-,,
34495,Karetsas,Borussia Dortmund,12880000,0,-,,
34200,Bellingham,Borussia Dortmund,5160000,95,"3,17",54316,1627760
34117,Chukwuemeka,Borussia Dortmund,1610000,66,"2,54",24394,633858
34347,Inácio,Borussia Dortmund,3120000,29,"4,14",107586,753623
34362,Albert,Borussia Dortmund,500000,0,-,,
34283,Fábio Silva,Borussia Dortmund,3500000,82,"3,15",42683,1111111
33208,Beier,Borussia Dortmund,6790000,149,"4,66",45570,1457082
32667,Guirassy,Borussia Dortmund,11380000,189,"5,73",60212,1986038
32267,Zingerle,RB Leipzig,160000,0,-,,
