spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,1780000,63,"2,86",28254,622378
34101,Klanac,1. FC Bayern München,160000,0,-,,
34284,Bärtl,1. FC Bayern München,160000,0,-,,
34353,Prescott,1. FC Bayern München,160000,0,-,,
31216,Ulreich,1. FC Bayern München,170000,6,"6,00",28333,28333
33494,Urbig,1. FC Bayern München,1540000,52,"3,71",29615,415094
34205,Kiala,1. FC Bayern München,170000,0,-,,
33975,Brown,1. FC Bayern München,7400000,141,"4,27",52482,1733021
33894,Boey,1. FC Bayern München,500000,15,"1,67",33333,299401
33823,Kim,1. FC Bayern München,2650000,112,"5,33",23661,497186
33796,Buchmann,1. FC Bayern München,200000,0,-,,
33496,Itō,1. FC Bayern München,1580000,60,"3,75",26333,421333
32720,Upamecano,1. FC Bayern München,5540000,107,"4,46",51776,1242152
32800,Laimer,1. FC Bayern München,5840000,131,"4,52",44580,1292035
33021,Davies,1. FC Bayern München,4670000,45,"3,46",103778,1349711
32157,Tah,1. FC Bayern München,7770000,130,"4,81",59769,1615385
33386,Stanišić,1. FC Bayern München,4770000,123,"4,73",38780,1008457
34328,Chávez,1. FC Bayern München,530000,20,"2,22",26500,238739
34321,Sapoko Ndiaye,1. FC Bayern München,2930000,11,"2,75",266364,1065455
32445,Kimmich,1. FC Bayern München,15660000,217,"7,48",72166,2093583
34357,Osmani,1. FC Bayern München,220000,0,-,,
34207,Santos Daiber,1. FC Bayern München,200000,4,"2,00",50000,100000
34206,Karl,1. FC Bayern München,8770000,115,"4,60",76261,1906522
33504,Bischof,1. FC Bayern München,6830000,123,"5,35",55528,1276636
34466,Saibari,1. FC Bayern München,14790000,0,-,,
34018,João Palhinha,1. FC Bayern München,490000,0,-,,
33713,Ibrahimović,1. FC Bayern München,2500000,126,"4,06",19841,615764
33236,Musiala,1. FC Bayern München,12040000,62,"4,13",194194,2915254
33854,Pavlović,1. FC Bayern München,7500000,128,"5,33",58594,1407129
33898,Zaragoza,1. FC Bayern München,210000,0,-,,
34261,Mike,1. FC Bayern München,370000,6,"2,00",61667,185000
33838,Kane,1. FC Bayern München,22590000,338,"10,90",66834,2072477
34350,Cardozo,1. FC Bayern München,630000,2,"2,00",315000,315000
34254,Luis Díaz,1. FC Bayern München,18270000,227,"7,09",80485,2576869
34014,Olise,1. FC Bayern München,18860000,268,"8,38",70373,2250597
32696,Gnabry,1. FC Bayern München,6800000,124,"5,90",54839,1152542
33539,Ostrzinski,Borussia Dortmund,170000,0,-,,
31988,Drewes,Borussia Dortmund,160000,0,-,,
32638,Kobel,Borussia Dortmund,3550000,124,"3,65",28629,972603
32841,Meyer,Borussia Dortmund,330000,0,-,,
34084,Mané,Borussia Dortmund,860000,-2,"-1,00",-430000,-860000
34114,Svensson,Borussia Dortmund,4810000,125,"3,79",38480,1269129
34346,Reggiani,Borussia Dortmund,1400000,26,"3,71",53846,377358
34422,Gadou,Borussia Dortmund,4850000,0,-,,
34423,Prates,Borussia Dortmund,610000,0,-,,
31935,Can,Borussia Dortmund,550000,50,"5,56",11000,98921
33167,Bensebaini,Borussia Dortmund,4840000,123,"6,15",39350,786992
33141,Ryerson,Borussia Dortmund,5610000,128,"4,27",43828,1313817
33038,N. Schlotterbeck,Borussia Dortmund,6030000,188,"6,71",32074,898659
32452,Anton,Borussia Dortmund,6540000,162,"5,06",40370,1292490
33208,Beier,Borussia Dortmund,6630000,149,"4,66",44497,1422747
34495,Karetsas,Borussia Dortmund,14420000,0,-,,
34424,Lerma,Borussia Dortmund,1110000,0,-,,
32590,Sabitzer,Borussia Dortmund,2610000,98,"3,92",26633,665816
34364,Kaba,Borussia Dortmund,280000,0,-,,
34503,Konstantelias,Borussia Dortmund,10000000,0,-,,
34200,Bellingham,Borussia Dortmund,5450000,95,"3,17",57368,1719243
34117,Chukwuemeka,Borussia Dortmund,1680000,66,"2,54",25455,661417
33498,F. Nmecha,Borussia Dortmund,8210000,108,"3,72",76019,2206989
34347,Inácio,Borussia Dortmund,4310000,29,"4,14",148621,1041063
34362,Albert,Borussia Dortmund,750000,0,-,,
34283,Fábio Silva,Borussia Dortmund,4650000,82,"3,15",56707,1476190
