spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,1970000,10,"5,00",197000,394000
34284,Bärtl,1. FC Bayern München,160000,0,-,,
33494,Urbig,1. FC Bayern München,1250000,0,-,,
34353,Prescott,1. FC Bayern München,170000,0,-,,
34101,Klanac,1. FC Bayern München,160000,0,-,,
31216,Ulreich,1. FC Bayern München,170000,0,-,,
32800,Laimer,1. FC Bayern München,5120000,-1,"-0,50",-5120000,-10240000
34205,Kiala,1. FC Bayern München,160000,0,-,,
33975,Brown,1. FC Bayern München,6860000,5,"2,50",1372000,2744000
33894,Boey,1. FC Bayern München,680000,0,-,,
33823,Kim,1. FC Bayern München,4280000,4,"4,00",1070000,1070000
33796,Buchmann,1. FC Bayern München,180000,0,-,,
32720,Upamecano,1. FC Bayern München,8180000,25,"12,50",327200,654400
33496,Itō,1. FC Bayern München,1200000,0,-,,
32157,Tah,1. FC Bayern München,5980000,14,"7,00",427143,854286
33386,Stanišić,1. FC Bayern München,3860000,2,"2,00",1930000,1930000
33021,Davies,1. FC Bayern München,6570000,18,"9,00",365000,730000
34207,Santos Daiber,1. FC Bayern München,160000,0,-,,
34206,Karl,1. FC Bayern München,7290000,2,"1,00",3645000,7290000
34321,Sapoko Ndiaye,1. FC Bayern München,2140000,0,-,,
34357,Osmani,1. FC Bayern München,250000,0,-,,
33236,Musiala,1. FC Bayern München,9750000,0,"0,00",,
33854,Pavlović,1. FC Bayern München,9420000,21,"10,50",448571,897143
34466,Saibari,1. FC Bayern München,17600000,10,"5,00",1760000,3520000
32445,Kimmich,1. FC Bayern München,14730000,23,"11,50",640435,1280870
33504,Bischof,1. FC Bayern München,5560000,5,"2,50",1112000,2224000
32696,Gnabry,1. FC Bayern München,6570000,0,-,,
34350,Cardozo,1. FC Bayern München,490000,0,-,,
34014,Olise,1. FC Bayern München,19140000,16,"8,00",1196250,2392500
34254,Luis Díaz,1. FC Bayern München,15670000,10,"5,00",1567000,3134000
33838,Kane,1. FC Bayern München,21280000,10,"5,00",2128000,4256000
31988,Drewes,Borussia Dortmund,160000,0,-,,
33539,Ostrzinski,Borussia Dortmund,160000,0,-,,
32638,Kobel,Borussia Dortmund,3200000,11,"5,50",290909,581818
