spieler_id,name,verein,news_headline,news_link,news_count_7d,transfer_news_flag,stammplatz_news_flag
32638,Kobel,Borussia Dortmund,Kobel im Fokus von Real – BVB will verlängern,https://www.ligainsider.de/gregor-kobel_9357/kobel-im-fokus-von-real-ndash-bvb-will-verlaengern-418116/,1,0,0
32841,Meyer,Borussia Dortmund,Meyer ersetzt Kobel im DFB-Pokal,https://www.ligainsider.de/alexander-meyer_14604/meyer-ersetzt-kobel-im-dfb-pokal-417303/,0,0,0
31935,Can,Borussia Dortmund,Königsklas­se ohne Can: Comeback nimmt Zeit in Anspruch,https://www.ligainsider.de/emre-can_1812/koenigsklasse-ohne-can-comeback-nimmt-zeit-in-anspruch-417656/,0,0,0
34084,Mané,Borussia Dortmund,Mane fällt bis zur Länderspiel­pau­se aus,https://www.ligainsider.de/filippo-mane_37067/mane-faellt-bis-zur-laenderspielpause-aus-417769/,0,0,0
34423,Prates,Borussia Dortmund,Prates feiert gegen Hamburg Debüt für den BVB,https://www.ligainsider.de/kaua-prates_38741/prates-feiert-gegen-hamburg-debuet-fuer-den-bvb-417148/,0,0,0
33167,Bensebaini,Borussia Dortmund,Schlot­ter­beck und Bensebaini bereit für Stuttgart,https://www.ligainsider.de/nico-schlotterbeck_20052/schlotterbeck-und-bensebaini-bereit-fuer-stuttgart-418212/,1,0,0
33141,Ryerson,Borussia Dortmund,Ryerson muss in der Schlussphase raus,https://www.ligainsider.de/julian-ryerson_18478/ryerson-muss-in-der-schlussphase-raus-418325/,1,0,0
33038,N. Schlotterbeck,Borussia Dortmund,,,0,0,0
34422,Gadou,Borussia Dortmund,Konstan­te­lias & Co. überzeugen beim BVB-Debüt,https://www.ligainsider.de/giannis-konstantelias_25767/konstantelias-amp-co-ueberzeugen-beim-bvb-debuet-416763/,0,0,0
34346,Reggiani,Borussia Dortmund,Inter Mailand erkundigt sich nach Reggiani,https://www.ligainsider.de/luca-reggiani_38816/inter-mailand-erkundigt-sich-nach-reggiani-416218/,0,0,0
32452,Anton,Borussia Dortmund,Kovač kann im Supercup auf Anton zählen,https://www.ligainsider.de/waldemar-anton_5837/kova-kann-im-supercup-auf-anton-zaehlen-416535/,0,0,0
34114,Svensson,Borussia Dortmund,BVB-Kader für Villarreal: Svensson und Karetsas dabei,https://www.ligainsider.de/daniel-svensson_38304/bvb-kader-fuer-villarreal-svensson-und-karetsas-dabei-417796/,0,0,0
34424,Lerma,Borussia Dortmund,BVB erwägt Winter-Leihe für Lerma,https://www.ligainsider.de/justin-lerma_37104/bvb-erwaegt-winter-leihe-fuer-lerma-418089/,1,1,0
34495,Karetsas,Borussia Dortmund,Karetsas kehrt gegen Stuttgart in den Kader zurück,https://www.ligainsider.de/konstantinos-karetsas_38406/karetsas-kehrt-gegen-stuttgart-in-den-kader-zurueck-418211/,3,0,0
34503,Konstantelias,Borussia Dortmund,Konstan­te­lias nach Kreuz­bandriss erfolgreich operiert,https://www.ligainsider.de/giannis-konstantelias_25767/konstantelias-nach-kreuzbandriss-erfolgreich-operiert-417939/,0,0,0
34505,Veerman,Borussia Dortmund,Veerman glänzt als Dortmunder Wende-Joker,https://www.ligainsider.de/joey-veerman_37180/veerman-glaenzt-als-dortmunder-wende-joker-417719/,0,0,0
34507,dos Santos,Borussia Dortmund,Enzo dos Santos ist wieder ein­satzbe­reit,https://www.ligainsider.de/enzo-dos-santos_38966/enzo-dos-santos-ist-wieder-einsatzbereit-418062/,1,0,0
34364,Kaba,Borussia Dortmund,Comeback in der U23: Kaba beendet lange Zwangspause,https://www.ligainsider.de/mussa-kaba_38783/comeback-in-der-u23-kaba-beendet-lange-zwangspause-418061/,1,0,0
34519,Nwaneri,Borussia Dortmund,Kovač stellt Nwaneri wichtige Rolle in Aussicht,https://www.ligainsider.de/ethan-nwaneri_36869/kova-stellt-nwaneri-wichtige-rolle-in-aussicht-417891/,0,0,0
32590,Sabitzer,Borussia Dortmund,Sabitzer legt Pause im Nationalteam ein,https://www.ligainsider.de/marcel-sabitzer_2020/sabitzer-legt-pause-im-nationalteam-ein-418051/,1,0,0
33208,Beier,Borussia Dortmund,Beier belohnt sich selbst mit Siegtreffer,https://www.ligainsider.de/maximilian-beier_20804/beier-belohnt-sich-selbst-mit-siegtreffer-418331/,1,0,0
33498,F. Nmecha,Borussia Dortmund,,,0,0,0
34117,Chukwuemeka,Borussia Dortmund,So plant Kovač ohne Konstan­te­lias,https://www.ligainsider.de/giannis-konstantelias_25767/so-plant-kova-ohne-konstantelias-417300/,0,0,0
34200,Bellingham,Borussia Dortmund,Kovač nimmt Bellingham nach Fehler in Schutz,https://www.ligainsider.de/jobe-bellingham_38153/kova-nimmt-bellingham-nach-fehler-in-schutz-416957/,0,0,0
34283,Fábio Silva,Borussia Dortmund,Kovač hält sich Doppelspitze mit Silva offen,https://www.ligainsider.de/fabio-silva_22570/kova-haelt-sich-doppelspitze-mit-silva-offen-417894/,0,0,0
32667,Guirassy,Borussia Dortmund,Guirassy bekennt sich zum BVB: „Noch große Pläne“,https://www.ligainsider.de/serhou-guirassy_10454/guirassy-bekennt-sich-zum-bvb-bdquo-noch-grosse-plaene-ldquo-418167/,1,0,0
34347,Inácio,Borussia Dortmund,Inácio und Albert reichen Bewerbung bei Kovač ein,https://www.ligainsider.de/samuele-inacio_37188/inacio-und-albert-reichen-bewerbung-bei-kova-ein-417479/,0,0,0
34362,Albert,Borussia Dortmund,Inácio und Albert reichen Bewerbung bei Kovač ein,https://www.ligainsider.de/samuele-inacio_37188/inacio-und-albert-reichen-bewerbung-bei-kova-ein-417479/,0,0,0
33919,Vandevoordt,RB Leipzig,Klare Hierarchie bei RB: Vandevoordt vor Nyland,https://www.ligainsider.de/maarten-vandevoordt_21774/klare-hierarchie-bei-rb-vandevoordt-vor-nyland-416626/,0,0,0
32267,Zingerle,RB Leipzig,Zingerle feiert Comeback im Testspiel,https://www.ligainsider.de/leopold-zingerle_2452/zingerle-feiert-comeback-im-testspiel-415201/,0,0,0
32481,Nyland,RB Leipzig,Nyland wieder voll im Mannschafts­trai­ning,https://www.ligainsider.de/oerjan-nyland_6511/nyland-wieder-voll-im-mannschaftstraining-417567/,0,0,0
34479,Estève,RB Leipzig,Lukeba an­geschla­gen: Einsatz fraglich,https://www.ligainsider.de/castello-lukeba_27079/lukeba-angeschlagen-einsatz-fraglich-417605/,0,0,0
34431,Koné,RB Leipzig,Lukeba an­geschla­gen: Einsatz fraglich,https://www.ligainsider.de/castello-lukeba_27079/lukeba-angeschlagen-einsatz-fraglich-417605/,0,0,0
31846,W. Orbán,RB Leipzig,,,0,0,0
33848,Finkgräfe,RB Leipzig,,,0,0,0
33837,Lukeba,RB Leipzig,Demichelis gibt grünes Licht für Rückkehrer,https://www.ligainsider.de/castello-lukeba_27079/demichelis-gibt-gruenes-licht-fuer-rueckkehrer-417870/,0,0,0
33436,Raum,RB Leipzig,Raum vor wegweisender Saison in Leipzig,https://www.ligainsider.de/david-raum_12557/raum-vor-wegweisender-saison-in-leipzig-416838/,0,0,0
32461,Henrichs,RB Leipzig,Rechts­ver­teidi­ger-Duell: Henrichs macht Druck auf Baku,https://www.ligainsider.de/benjamin-henrichs_5680/rechtsverteidiger-duell-henrichs-macht-druck-auf-baku-418277/,1,0,0
32581,Klostermann,RB Leipzig,Klostermann setzt erneut mit dem Training aus,https://www.ligainsider.de/lukas-klostermann_5622/klostermann-setzt-erneut-mit-dem-training-aus-415864/,0,0,0
32889,Baku,RB Leipzig,Rechts­ver­teidi­ger-Duell: Henrichs macht Druck auf Baku,https://www.ligainsider.de/benjamin-henrichs_5680/rechtsverteidiger-duell-henrichs-macht-druck-auf-baku-418277/,1,0,0
33353,Reitz,RB Leipzig,Demichelis bestätigt Reitz-Rückkehr für Oktober,https://www.ligainsider.de/rocco-reitz_24546/demichelis-bestaetigt-reitz-rueckkehr-fuer-oktober-418270/,3,0,0
34348,Kaltefleiter,RB Leipzig,Kaltefleiter tei­lin­teg­riert zurück im Training,https://www.ligainsider.de/benno-kaltefleiter_38764/kaltefleiter-teilintegriert-zurueck-im-training-415788/,0,0,0
34238,Maksimović,RB Leipzig,Maksimović bekommt gegen Como seine große Chance,https://www.ligainsider.de/andrija-maksimovic_37867/maksimovi-bekommt-gegen-como-seine-grosse-chance-417940/,0,0,0
34185,Banzuzi,RB Leipzig,Banzuzi nutzt seine Chance unter Demichelis,https://www.ligainsider.de/ezechiel-banzuzi_38383/banzuzi-nutzt-seine-chance-unter-demichelis-416813/,0,0,0
34042,Gebel,RB Leipzig,Kreuz­bandriss bei Leip­zig-Ta­lent Viggo Gebel,https://www.ligainsider.de/viggo-gebel_37240/kreuzbandriss-bei-leipzig-talent-viggo-gebel-403643/,0,0,0
34518,El Aynaoui,RB Leipzig,El Aynaoui erhält gegen den HSV den Vorzug,https://www.ligainsider.de/neil-el-aynaoui_36433/el-aynaoui-erhaelt-gegen-den-hsv-den-vorzug-418083/,1,0,0
33991,Ouédraogo,RB Leipzig,Ouédraogo wohl erst im neuen Jahr zurück,https://www.ligainsider.de/assan-ouedraogo_36735/ouedraogo-wohl-erst-im-neuen-jahr-zurueck-418125/,4,0,0
32977,Baumgartner,RB Leipzig,Demichelis positiv zwecks naher Rückkehr von Baumgartner,https://www.ligainsider.de/christoph-baumgartner_18640/demichelis-positiv-zwecks-naher-rueckkehr-von-baumgartner-418271/,2,0,0
33695,Gruda,RB Leipzig,Demichelis setzt auf Gruda: Position noch offen,https://www.ligainsider.de/brajan-gruda_35733/demichelis-setzt-auf-gruda-position-noch-offen-418273/,1,0,0
33769,Seiwald,RB Leipzig,El Aynaoui erhält gegen den HSV den Vorzug,https://www.ligainsider.de/neil-el-aynaoui_36433/el-aynaoui-erhaelt-gegen-den-hsv-den-vorzug-418083/,1,0,0
34515,Guiu,RB Leipzig,Mus­kelverlet­zung: Guiu fehlt Leipzig mehrere Wochen,https://www.ligainsider.de/marc-guiu_36753/muskelverletzung-guiu-fehlt-leipzig-mehrere-wochen-418261/,1,0,0
33151,Nkunku,RB Leipzig,Demichelis erklärt Nkun­ku-Bankplatz,https://www.ligainsider.de/christopher-nkunku_12446/demichelis-erklaert-nkunku-bankplatz-418069/,1,0,0
34309,Konaté,RB Leipzig,Samba Konaté feiert Debüt bei den RB-Profis,https://www.ligainsider.de/samba-konate_38757/samba-konate-feiert-debuet-bei-den-rb-profis-405421/,0,0,0
34271,Rômulo,RB Leipzig,Tor als Brustlöser: Rômulo wieder Star­telf-The­ma,https://www.ligainsider.de/romulo-cardoso_38565/tor-als-brustloeser-romulo-wieder-startelf-thema-418276/,2,0,0
34240,Bakayoko,RB Leipzig,Flexibel auf drei Positionen: Gomis als Mehrwert für RB,https://www.ligainsider.de/tidiam-gomis_36962/flexibel-auf-drei-positionen-gomis-als-mehrwert-fuer-rb-418274/,1,0,0
34116,T. Gomis,RB Leipzig,,,0,0,0
34039,Nusa,RB Leipzig,"Nusa im Rom-Visier, aber zu teuer – Bahoya als Plan B",https://www.ligainsider.de/antonio-nusa_37124/nusa-im-rom-visier-aber-zu-teuer-ndash-bahoya-als-plan-b-415605/,0,0,0
31827,Blaswich,Bayer 04 Leverkusen,Martínez hält an Flekken fest,https://www.ligainsider.de/mark-flekken_4530/martinez-haelt-an-flekken-fest-418137/,1,0,0
32007,Lomb,Bayer 04 Leverkusen,Er­satztor­wart Lomb bleibt über den Sommer hinaus in Leverkusen,https://www.ligainsider.de/niklas-lomb_2226/ersatztorwart-lomb-bleibt-ueber-den-sommer-hinaus-in-leverkusen-355691/,0,0,0
32925,Flekken,Bayer 04 Leverkusen,Martínez hält an Flekken fest,https://www.ligainsider.de/mark-flekken_4530/martinez-haelt-an-flekken-fest-418137/,1,0,0
34498,Medina,Bayer 04 Leverkusen,Medina zurück im Teamtraining,https://www.ligainsider.de/facundo-medina_36418/medina-zurueck-im-teamtraining-417833/,0,0,0
34496,Gutiérrez,Bayer 04 Leverkusen,Offiziell: Gutiérrez wechselt nach Leverkusen,https://www.ligainsider.de/miguel-gutierrez_24219/offiziell-gutierrez-wechselt-nach-leverkusen-415855/,0,0,0
34277,Lucas Vázquez,Bayer 04 Leverkusen,Vázquez denkt nicht an Abschied aus Leverkusen,https://www.ligainsider.de/lucas-vazquez_7631/vazquez-denkt-nicht-an-abschied-aus-leverkusen-416912/,0,0,0
34272,Badé,Bayer 04 Leverkusen,Badé hofft auf mehr Spielzeit unter Martínez,https://www.ligainsider.de/loic-bade_35823/bade-hofft-auf-mehr-spielzeit-unter-martinez-415306/,0,0,0
34217,Quansah,Bayer 04 Leverkusen,Nach Sieg gegen Union: Martínez erklärt Flügel-Plan,https://www.ligainsider.de/ibrahim-maza_35905/nach-sieg-gegen-union-martinez-erklaert-fluegel-plan-417714/,0,0,0
34520,Doué,Bayer 04 Leverkusen,Mus­kelverlet­zung: Doué fällt mehrere Wochen aus,https://www.ligainsider.de/guela-doue_35433/muskelverletzung-doue-faellt-mehrere-wochen-aus-418190/,1,0,0
33630,Oermann,Bayer 04 Leverkusen,Vázquez denkt nicht an Abschied aus Leverkusen,https://www.ligainsider.de/lucas-vazquez_7631/vazquez-denkt-nicht-an-abschied-aus-leverkusen-416912/,0,0,0
33207,Tapsoba,Bayer 04 Leverkusen,Tapsoba übernimmt Ka­pitänsbin­de von Andrich,https://www.ligainsider.de/edmond-tapsoba_19022/tapsoba-uebernimmt-kapitaensbinde-von-andrich-416608/,0,0,0
33744,Maza,Bayer 04 Leverkusen,Maza zurück im Training: Einsatz gegen Leipzig winkt,https://www.ligainsider.de/ibrahim-maza_35905/maza-zurueck-im-training-einsatz-gegen-leipzig-winkt-418262/,5,0,0
32080,J. Hofmann,Bayer 04 Leverkusen,,,0,0,0
32129,Andrich,Bayer 04 Leverkusen,Andrich meldet sich zurück: Martínez plant mit Rotation,https://www.ligainsider.de/robert-andrich_2590/andrich-meldet-sich-zurueck-martinez-plant-mit-rotation-418200/,1,0,0
34448,Eichhorn,Bayer 04 Leverkusen,Eichhorn-Ausfall ändert Leverkusens Transferpläne,https://www.ligainsider.de/kennet-eichhorn_38775/eichhorn-ausfall-aendert-leverkusens-transferplaene-415853/,0,0,0
34289,Fernández,Bayer 04 Leverkusen,Fernández bleibt: Fokus liegt voll auf Bayer 04,https://www.ligainsider.de/equi-fernandez_38674/fernandez-bleibt-fokus-liegt-voll-auf-bayer-04-416449/,0,0,0
33992,García,Bayer 04 Leverkusen,Eichhorn-Ausfall ändert Leverkusens Transferpläne,https://www.ligainsider.de/kennet-eichhorn_38775/eichhorn-ausfall-aendert-leverkusens-transferplaene-415853/,0,0,0
33530,Tillman,Bayer 04 Leverkusen,Tillman blickt kritisch auf erstes Lever­ku­sen-Jahr,https://www.ligainsider.de/malik-tillman_23862/tillman-blickt-kritisch-auf-erstes-leverkusen-jahr-415879/,0,0,0
