spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,1740000,63,"2,86",27619,608392
34101,Klanac,1. FC Bayern München,160000,0,-,,
34284,Bärtl,1. FC Bayern München,160000,0,-,,
34353,Prescott,1. FC Bayern München,160000,0,-,,
31216,Ulreich,1. FC Bayern München,160000,6,"6,00",26667,26667
33494,Urbig,1. FC Bayern München,1590000,52,"3,71",30577,428571
34205,Kiala,1. FC Bayern München,170000,0,-,,
33975,Brown,1. FC Bayern München,7050000,141,"4,27",50000,1651054
33894,Boey,1. FC Bayern München,310000,15,"1,67",20667,185629
33823,Kim,1. FC Bayern München,2550000,112,"5,33",22768,478424
33796,Buchmann,1. FC Bayern München,180000,0,-,,
33496,Itō,1. FC Bayern München,1500000,60,"3,75",25000,400000
32720,Upamecano,1. FC Bayern München,6210000,107,"4,46",58037,1392377
32800,Laimer,1. FC Bayern München,6120000,131,"4,52",46718,1353982
33021,Davies,1. FC Bayern München,4210000,45,"3,46",93556,1216763
32157,Tah,1. FC Bayern München,6460000,130,"4,81",49692,1343035
33386,Stanišić,1. FC Bayern München,4470000,123,"4,73",36341,945032
34328,Chávez,1. FC Bayern München,540000,20,"2,22",27000,243243
34321,Sapoko Ndiaye,1. FC Bayern München,2650000,11,"2,75",240909,963636
32445,Kimmich,1. FC Bayern München,14950000,217,"7,48",68894,1998663
34357,Osmani,1. FC Bayern München,250000,0,-,,
34207,Santos Daiber,1. FC Bayern München,200000,4,"2,00",50000,100000
34206,Karl,1. FC Bayern München,8750000,115,"4,60",76087,1902174
33504,Bischof,1. FC Bayern München,6380000,123,"5,35",51870,1192523
34466,Saibari,1. FC Bayern München,16320000,0,-,,
34018,João Palhinha,1. FC Bayern München,570000,0,-,,
33713,Ibrahimović,1. FC Bayern München,2350000,126,"4,06",18651,578818
33236,Musiala,1. FC Bayern München,12630000,62,"4,13",203710,3058111
33854,Pavlović,1. FC Bayern München,7320000,128,"5,33",57188,1373358
33898,Zaragoza,1. FC Bayern München,200000,0,-,,
34261,Mike,1. FC Bayern München,430000,6,"2,00",71667,215000
33838,Kane,1. FC Bayern München,22330000,338,"10,90",66065,2048624
