spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,1450000,63,"2,86",23016,506993
34101,Klanac,1. FC Bayern München,160000,0,-,,
34284,Bärtl,1. FC Bayern München,160000,0,-,,
34353,Prescott,1. FC Bayern München,160000,0,-,,
31216,Ulreich,1. FC Bayern München,170000,6,"6,00",28333,28333
33494,Urbig,1. FC Bayern München,1710000,52,"3,71",32885,460916
34205,Kiala,1. FC Bayern München,200000,0,-,,
33975,Brown,1. FC Bayern München,7540000,141,"4,27",53475,1765808
33894,Boey,1. FC Bayern München,310000,15,"1,67",20667,185629
33823,Kim,1. FC Bayern München,2470000,112,"5,33",22054,463415
33796,Buchmann,1. FC Bayern München,170000,0,-,,
33496,Itō,1. FC Bayern München,1310000,60,"3,75",21833,349333
32720,Upamecano,1. FC Bayern München,5890000,107,"4,46",55047,1320628
33386,Stanišić,1. FC Bayern München,5030000,123,"4,73",40894,1063425
32157,Tah,1. FC Bayern München,6700000,130,"4,81",51538,1392931
32800,Laimer,1. FC Bayern München,6090000,131,"4,52",46489,1347345
33021,Davies,1. FC Bayern München,3710000,45,"3,46",82444,1072254
34206,Karl,1. FC Bayern München,8900000,115,"4,60",77391,1934783
34207,Santos Daiber,1. FC Bayern München,190000,4,"2,00",47500,95000
32445,Kimmich,1. FC Bayern München,15020000,217,"7,48",69217,2008021
34328,Chávez,1. FC Bayern München,530000,20,"2,22",26500,238739
34357,Osmani,1. FC Bayern München,320000,0,-,,
33504,Bischof,1. FC Bayern München,6120000,123,"5,35",49756,1143925
34018,João Palhinha,1. FC Bayern München,360000,0,-,,
34466,Saibari,1. FC Bayern München,16250000,0,-,,
33713,Ibrahimović,1. FC Bayern München,2520000,126,"4,06",20000,620690
33236,Musiala,1. FC Bayern München,16240000,62,"4,13",261935,3932203
33854,Pavlović,1. FC Bayern München,6680000,128,"5,33",52188,1253283
34254,Luis Díaz,1. FC Bayern München,15870000,227,"7,09",69912,2238364
34261,Mike,1. FC Bayern München,560000,6,"2,00",93333,280000
33898,Zaragoza,1. FC Bayern München,200000,0,-,,
33838,Kane,1. FC Bayern München,21480000,338,"10,90",63550,1970642
34350,Cardozo,1. FC Bayern München,470000,2,"2,00",235000,235000
34006,Sieb,1. FC Bayern München,570000,44,"2,10",12955,271429
32696,Gnabry,1. FC Bayern München,6590000,124,"5,90",53145,1116949
34014,Olise,1. FC Bayern München,18440000,268,"8,38",68806,2200477
33440,Ramaj,Borussia Dortmund,330000,105,"3,39",3143,97345
33539,Ostrzinski,Borussia Dortmund,160000,0,-,,
32841,Meyer,Borussia Dortmund,470000,0,-,,
32638,Kobel,Borussia Dortmund,3250000,124,"3,65",26210,890411
31988,Drewes,Borussia Dortmund,160000,0,-,,
34422,Gadou,Borussia Dortmund,4230000,0,-,,
34346,Reggiani,Borussia Dortmund,1440000,26,"3,71",55385,388140
34423,Prates,Borussia Dortmund,740000,0,-,,
34114,Svensson,Borussia Dortmund,4610000,125,"3,79",36880,1216359
34084,Mané,Borussia Dortmund,290000,-2,"-1,00",-145000,-290000
34066,Kabar,Borussia Dortmund,360000,3,"3,00",120000,120000
31935,Can,Borussia Dortmund,620000,50,"5,56",12400,111511
33167,Bensebaini,Borussia Dortmund,4390000,123,"6,15",35691,713821
33141,Ryerson,Borussia Dortmund,5130000,128,"4,27",40078,1201405
33038,N. Schlotterbeck,Borussia Dortmund,6500000,188,"6,71",34574,968703
32452,Anton,Borussia Dortmund,6140000,162,"5,06",37901,1213439
33498,F. Nmecha,Borussia Dortmund,7680000,108,"3,72",71111,2064516
34424,Lerma,Borussia Dortmund,1770000,0,-,,
32590,Sabitzer,Borussia Dortmund,2590000,98,"3,92",26429,660714
34364,Kaba,Borussia Dortmund,380000,0,-,,
34495,Karetsas,Borussia Dortmund,13290000,0,-,,
34200,Bellingham,Borussia Dortmund,4720000,95,"3,17",49684,1488959
34117,Chukwuemeka,Borussia Dortmund,1650000,66,"2,54",25000,649606
34347,Inácio,Borussia Dortmund,3100000,29,"4,14",106897,748792
34362,Albert,Borussia Dortmund,480000,0,-,,
34283,Fábio Silva,Borussia Dortmund,3500000,82,"3,15",42683,1111111
33208,Beier,Borussia Dortmund,6950000,149,"4,66",46644,1491416
32667,Guirassy,Borussia Dortmund,11480000,189,"5,73",60741,2003490
32267,Zingerle,RB Leipzig,160000,0,-,,
32481,Nyland,RB Leipzig,390000,0,-,,
33919,Vandevoordt,RB Leipzig,2280000,40,"3,33",57000,684685
31846,W. Orbán,RB Leipzig,6480000,180,"5,45",36000,1188991
33837,Lukeba,RB Leipzig,3600000,105,"4,04",34286,891089
33848,Finkgräfe,RB Leipzig,660000,39,"4,33",16923,152425
34479,Estève,RB Leipzig,5320000,0,-,,
34055,Geertruida,RB Leipzig,360000,0,-,,
34431,Koné,RB Leipzig,1660000,0,-,,
33824,Bitshiabu,RB Leipzig,700000,38,"3,80",18421,184211
32461,Henrichs,RB Leipzig,1380000,23,"2,30",60000,600000
33436,Raum,RB Leipzig,7540000,195,"6,50",38667,1160000
32889,Baku,RB Leipzig,5240000,133,"4,16",39398,1259615
32581,Klostermann,RB Leipzig,290000,9,"3,00",32222,96667
33769,Seiwald,RB Leipzig,5230000,139,"4,21",37626,1242280
34348,Kaltefleiter,RB Leipzig,160000,0,-,,
34238,Maksimović,RB Leipzig,1000000,13,"2,17",76923,460829
34185,Banzuzi,RB Leipzig,870000,56,"2,43",15536,358025
34119,Masanka Bungi,RB Leipzig,180000,0,-,,
34049,Vermeeren,RB Leipzig,560000,0,-,,
34042,Gebel,RB Leipzig,170000,0,-,,
33695,Gruda,RB Leipzig,8510000,63,"4,85",135079,1754639
33991,Ouédraogo,RB Leipzig,6190000,80,"4,71",77375,1314225
32977,Baumgartner,RB Leipzig,6600000,204,"6,18",32353,1067961
33878,Elmas,RB Leipzig,230000,0,-,,
33353,Reitz,RB Leipzig,5190000,125,"4,03",41520,1287841
34339,Thomas,RB Leipzig,220000,0,-,,
34330,Sani,RB Leipzig,200000,0,-,,
34309,Konaté,RB Leipzig,750000,0,-,,
34295,Harder,RB Leipzig,1920000,81,"3,12",23704,615385
34271,Rômulo,RB Leipzig,6200000,129,"4,30",48062,1441860
34250,Ramšak,RB Leipzig,170000,0,-,,
34240,Bakayoko,RB Leipzig,2470000,61,"3,39",40492,728614
34116,T. Gomis,RB Leipzig,930000,35,"2,19",26571,424658
34039,Nusa,RB Leipzig,8590000,151,"4,87",56887,1763860
31827,Blaswich,Bayer 04 Leverkusen,270000,57,"5,18",4737,52124
32007,Lomb,Bayer 04 Leverkusen,160000,0,-,,
32925,Flekken,Bayer 04 Leverkusen,2480000,76,"3,17",32632,782334
33988,Belocian,Bayer 04 Leverkusen,1240000,51,"2,43",24314,510288
34190,I. Traoré,Bayer 04 Leverkusen,520000,0,-,,
34201,Tape,Bayer 04 Leverkusen,850000,5,"0,83",170000,1024096
34217,Quansah,Bayer 04 Leverkusen,4370000,126,"4,67",34683,935760
34272,Badé,Bayer 04 Leverkusen,2630000,91,"3,96",28901,664141
34277,Lucas Vázquez,Bayer 04 Leverkusen,940000,46,"3,83",20435,245431
33772,Arthur,Bayer 04 Leverkusen,1850000,57,"2,85",32456,649123
34496,Gutiérrez,Bayer 04 Leverkusen,8110000,0,-,,
33630,Oermann,Bayer 04 Leverkusen,300000,1,"0,50",300000,600000
33207,Tapsoba,Bayer 04 Leverkusen,6350000,166,"5,72",38253,1110140
32129,Andrich,Bayer 04 Leverkusen,3180000,104,"3,35",30577,949254
32080,J. Hofmann,Bayer 04 Leverkusen,2190000,91,"3,96",24066,553030
34289,Fernández,Bayer 04 Leverkusen,1480000,64,"3,20",23125,462500
34360,J. Mensah,Bayer 04 Leverkusen,160000,0,-,,
34441,Berghoff,Bayer 04 Leverkusen,180000,0,-,,
34448,Eichhorn,Bayer 04 Leverkusen,6290000,0,-,,
34264,Poku,Bayer 04 Leverkusen,3610000,116,"4,00",31121,902500
33744,Maza,Bayer 04 Leverkusen,8280000,133,"4,93",62256,1679513
33189,Palacios,Bayer 04 Leverkusen,4510000,70,"3,89",64429,1159383
33853,Tella,Bayer 04 Leverkusen,3220000,72,"4,80",44722,670833
33992,García,Bayer 04 Leverkusen,9940000,212,"6,42",46887,1548287
33530,Tillman,Bayer 04 Leverkusen,5610000,145,"5,18",38690,1083012
34461,Moreira,Bayer 04 Leverkusen,7980000,0,-,,
33827,Boniface,Bayer 04 Leverkusen,2230000,35,"3,18",63714,701258
34433,Damjanović,Bayer 04 Leverkusen,370000,0,-,,
34428,Bomba,Bayer 04 Leverkusen,170000,0,-,,
34311,Culbreath,Bayer 04 Leverkusen,2050000,37,"3,08",55405,665584
34285,Ben Seghir,Bayer 04 Leverkusen,1390000,26,"3,25",53462,427692
34024,Terrier,Bayer 04 Leverkusen,1470000,73,"4,06",20137,362069
33179,Schick,Bayer 04 Leverkusen,11030000,174,"6,21",63391,1776167
34246,Alfa-Ruprecht,Bayer 04 Leverkusen,530000,0,-,,
34234,Kofane,Bayer 04 Leverkusen,6060000,105,"3,89",57714,1557841
33747,Seimen,VfB Stuttgart,1550000,0,-,,
33401,M. Funk,VfB Stuttgart,160000,0,-,,
33342,Drljača,VfB Stuttgart,170000,0,-,,
32891,Bredlow,VfB Stuttgart,1570000,0,-,,
34197,Assignon,VfB Stuttgart,320000,39,"1,95",8205,164103
33552,Chabot,VfB Stuttgart,4270000,118,"4,37",36186,977117
34050,Al-Dakhil,VfB Stuttgart,490000,15,"2,50",32667,196000
33850,Stergiou,VfB Stuttgart,300000,11,"2,20",27273,136364
32509,Mittelstädt,VfB Stuttgart,7830000,196,"6,13",39949,1277325
32773,Zagadou,VfB Stuttgart,1460000,16,"5,33",91250,273921
34112,Jaquez,VfB Stuttgart,760000,45,"3,46",16889,219653
34115,Jeltsch,VfB Stuttgart,2810000,59,"2,81",47627,1000000
32880,Vagnoman,VfB Stuttgart,1610000,66,"2,87",24394,560976
34001,Hendriks,VfB Stuttgart,2420000,74,"2,47",32703,979757
34288,El Khannouss,VfB Stuttgart,6870000,139,"5,56",49424,1235612
34074,Malanga,VfB Stuttgart,310000,0,-,,
34262,Ćatović,VfB Stuttgart,170000,0,-,,
32492,Prömel,VfB Stuttgart,4840000,144,"4,65",33611,1040860
33411,Leweling,VfB Stuttgart,7890000,164,"5,13",48110,1538012
32830,Nartey,VfB Stuttgart,3380000,116,"4,64",29138,728448
33666,Ulrich,VfB Stuttgart,310000,0,-,,
34253,Chema Andrés,VfB Stuttgart,3750000,97,"4,62",38660,811688
33437,Stiller,VfB Stuttgart,8560000,180,"5,29",47556,1618147
32858,Führich,VfB Stuttgart,7860000,181,"5,66",43425,1388693
34488,Yigit,VfB Stuttgart,160000,0,-,,
33085,Karazor,VfB Stuttgart,2250000,80,"3,20",28125,703125
34320,Arévalo,VfB Stuttgart,380000,10,"2,50",38000,152000
34286,Bouanani,VfB Stuttgart,870000,32,"2,46",27188,353659
34458,van der Leij,VfB Stuttgart,490000,0,-,,
34230,Jovanović,VfB Stuttgart,1050000,6,"2,00",175000,525000
33832,Undav,VfB Stuttgart,13430000,218,"7,52",61606,1785904
33812,Milošević,VfB Stuttgart,1170000,44,"3,67",26591,318801
33718,Diehl,VfB Stuttgart,240000,0,-,,
33557,Tiago Tomás,VfB Stuttgart,3620000,103,"3,96",35146,914141
33311,Demirović,VfB Stuttgart,9270000,146,"6,35",63493,1459843
34491,Sauer,VfB Stuttgart,3670000,0,-,,
