spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,1310000,63,"2,86",20794,458042
34101,Klanac,1. FC Bayern München,160000,0,-,,
34284,Bärtl,1. FC Bayern München,160000,0,-,,
34353,Prescott,1. FC Bayern München,160000,0,-,,
31216,Ulreich,1. FC Bayern München,170000,6,"6,00",28333,28333
33494,Urbig,1. FC Bayern München,1460000,52,"3,71",28077,393531
34205,Kiala,1. FC Bayern München,220000,0,-,,
33975,Brown,1. FC Bayern München,8360000,141,"4,27",59291,1957845
33894,Boey,1. FC Bayern München,390000,15,"1,67",26000,233533
33823,Kim,1. FC Bayern München,2700000,112,"5,33",24107,506567
33796,Buchmann,1. FC Bayern München,180000,0,-,,
33496,Itō,1. FC Bayern München,1420000,60,"3,75",23667,378667
32720,Upamecano,1. FC Bayern München,5320000,107,"4,46",49720,1192825
33386,Stanišić,1. FC Bayern München,4440000,123,"4,73",36098,938689
32157,Tah,1. FC Bayern München,6710000,130,"4,81",51615,1395010
32800,Laimer,1. FC Bayern München,6730000,131,"4,52",51374,1488938
33021,Davies,1. FC Bayern München,3360000,45,"3,46",74667,971098
34206,Karl,1. FC Bayern München,9010000,115,"4,60",78348,1958696
34207,Santos Daiber,1. FC Bayern München,240000,4,"2,00",60000,120000
32445,Kimmich,1. FC Bayern München,15140000,217,"7,48",69770,2024064
34328,Chávez,1. FC Bayern München,460000,20,"2,22",23000,207207
34357,Osmani,1. FC Bayern München,220000,0,-,,
33504,Bischof,1. FC Bayern München,5960000,123,"5,35",48455,1114019
34018,João Palhinha,1. FC Bayern München,440000,0,-,,
34466,Saibari,1. FC Bayern München,17070000,0,-,,
33713,Ibrahimović,1. FC Bayern München,2750000,126,"4,06",21825,677340
33236,Musiala,1. FC Bayern München,15720000,62,"4,13",253548,3806295
33854,Pavlović,1. FC Bayern München,7240000,128,"5,33",56562,1358349
34254,Luis Díaz,1. FC Bayern München,15880000,227,"7,09",69956,2239774
34261,Mike,1. FC Bayern München,630000,6,"2,00",105000,315000
33898,Zaragoza,1. FC Bayern München,200000,0,-,,
33838,Kane,1. FC Bayern München,24010000,338,"10,90",71036,2202752
34350,Cardozo,1. FC Bayern München,420000,2,"2,00",210000,210000
34006,Sieb,1. FC Bayern München,570000,44,"2,10",12955,271429
32696,Gnabry,1. FC Bayern München,6100000,124,"5,90",49194,1033898
34014,Olise,1. FC Bayern München,17270000,268,"8,38",64440,2060859
33539,Ostrzinski,Borussia Dortmund,160000,0,-,,
33440,Ramaj,Borussia Dortmund,410000,105,"3,39",3905,120944
32841,Meyer,Borussia Dortmund,450000,0,-,,
32638,Kobel,Borussia Dortmund,2510000,124,"3,65",20242,687671
31988,Drewes,Borussia Dortmund,170000,0,-,,
34422,Gadou,Borussia Dortmund,4410000,0,-,,
34346,Reggiani,Borussia Dortmund,1280000,26,"3,71",49231,345013
34423,Prates,Borussia Dortmund,940000,0,-,,
34114,Svensson,Borussia Dortmund,3950000,125,"3,79",31600,1042216
34084,Mané,Borussia Dortmund,340000,-2,"-1,00",-170000,-340000
