spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,2140000,16,"5,33",133750,401501
31216,Ulreich,1. FC Bayern München,160000,0,-,,
33494,Urbig,1. FC Bayern München,1300000,3,"3,00",433333,433333
34205,Kiala,1. FC Bayern München,180000,0,-,,
33975,Brown,1. FC Bayern München,6090000,10,"2,50",609000,2436000
33894,Boey,1. FC Bayern München,470000,0,-,,
33823,Kim,1. FC Bayern München,4420000,15,"5,00",294667,884000
33796,Buchmann,1. FC Bayern München,170000,0,-,,
33496,Itō,1. FC Bayern München,1240000,0,-,,
33386,Stanišić,1. FC Bayern München,4190000,8,"2,67",523750,1569288
33021,Davies,1. FC Bayern München,8250000,34,"8,50",242647,970588
32800,Laimer,1. FC Bayern München,4400000,-1,"-0,50",-4400000,-8800000
32720,Upamecano,1. FC Bayern München,8790000,32,"8,00",274688,1098750
32157,Tah,1. FC Bayern München,6900000,22,"7,33",313636,941337
33236,Musiala,1. FC Bayern München,14730000,15,"5,00",982000,2946000
34207,Santos Daiber,1. FC Bayern München,170000,0,-,,
34206,Karl,1. FC Bayern München,8110000,12,"4,00",675833,2027500
32445,Kimmich,1. FC Bayern München,15530000,34,"8,50",456765,1827059
34357,Osmani,1. FC Bayern München,310000,0,-,,
33854,Pavlović,1. FC Bayern München,12800000,38,"9,50",336842,1347368
34466,Saibari,1. FC Bayern München,15620000,26,"6,50",600769,2403077
33504,Bischof,1. FC Bayern München,5660000,17,"4,25",332941,1331765
34321,Sapoko Ndiaye,1. FC Bayern München,1250000,0,-,,
34350,Cardozo,1. FC Bayern München,380000,0,-,,
34254,Luis Díaz,1. FC Bayern München,15510000,17,"4,25",912353,3649412
34014,Olise,1. FC Bayern München,22060000,47,"11,75",469362,1877447
32696,Gnabry,1. FC Bayern München,8600000,2,"2,00",4300000,4300000
33838,Kane,1. FC Bayern München,26480000,36,"9,00",735556,2942222
34524,Binder,1. FC Bayern München,560000,0,-,,
31988,Drewes,Borussia Dortmund,160000,0,-,,
