spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,2210000,16,"5,33",138125,414634
31216,Ulreich,1. FC Bayern München,160000,0,-,,
33494,Urbig,1. FC Bayern München,1150000,3,"3,00",383333,383333
34205,Kiala,1. FC Bayern München,160000,0,-,,
33975,Brown,1. FC Bayern München,5580000,10,"2,50",558000,2232000
33894,Boey,1. FC Bayern München,470000,0,-,,
33823,Kim,1. FC Bayern München,4490000,15,"5,00",299333,898000
33796,Buchmann,1. FC Bayern München,160000,0,-,,
33496,Itō,1. FC Bayern München,950000,0,-,,
33386,Stanišić,1. FC Bayern München,4040000,8,"2,67",505000,1513109
33021,Davies,1. FC Bayern München,9560000,34,"8,50",281176,1124706
32800,Laimer,1. FC Bayern München,4370000,-1,"-0,50",-4370000,-8740000
32720,Upamecano,1. FC Bayern München,7110000,32,"8,00",222188,888750
32157,Tah,1. FC Bayern München,7210000,22,"7,33",327727,983629
33236,Musiala,1. FC Bayern München,16290000,15,"5,00",1086000,3258000
34207,Santos Daiber,1. FC Bayern München,160000,0,-,,
34206,Karl,1. FC Bayern München,8050000,12,"4,00",670833,2012500
32445,Kimmich,1. FC Bayern München,16910000,34,"8,50",497353,1989412
34357,Osmani,1. FC Bayern München,290000,0,-,,
33854,Pavlović,1. FC Bayern München,13260000,38,"9,50",348947,1395789
34466,Saibari,1. FC Bayern München,16420000,26,"6,50",631538,2526154
33504,Bischof,1. FC Bayern München,6590000,17,"4,25",387647,1550588
34321,Sapoko Ndiaye,1. FC Bayern München,990000,0,-,,
34350,Cardozo,1. FC Bayern München,350000,0,-,,
34254,Luis Díaz,1. FC Bayern München,13950000,17,"4,25",820588,3282353
34014,Olise,1. FC Bayern München,23650000,47,"11,75",503191,2012766
32696,Gnabry,1. FC Bayern München,9030000,2,"2,00",4515000,4515000
33838,Kane,1. FC Bayern München,20800000,36,"9,00",577778,2311111
34524,Binder,1. FC Bayern München,630000,0,-,,
31988,Drewes,Borussia Dortmund,160000,0,-,,
33539,Ostrzinski,Borussia Dortmund,160000,0,-,,
32638,Kobel,Borussia Dortmund,3550000,23,"5,75",154348,617391
32841,Meyer,Borussia Dortmund,300000,0,-,,
31935,Can,Borussia Dortmund,470000,0,-,,
34084,Mané,Borussia Dortmund,1100000,4,"2,00",275000,550000
34423,Prates,Borussia Dortmund,770000,3,"3,00",256667,256667
33167,Bensebaini,Borussia Dortmund,3190000,5,"2,50",638000,1276000
33141,Ryerson,Borussia Dortmund,4780000,13,"3,25",367692,1470769
33038,N. Schlotterbeck,Borussia Dortmund,10990000,13,"6,50",845385,1690769
34422,Gadou,Borussia Dortmund,5210000,14,"3,50",372143,1488571
34346,Reggiani,Borussia Dortmund,810000,2,"2,00",405000,405000
32452,Anton,Borussia Dortmund,7820000,25,"6,25",312800,1251200
34114,Svensson,Borussia Dortmund,6940000,25,"6,25",277600,1110400
34424,Lerma,Borussia Dortmund,300000,0,-,,
34495,Karetsas,Borussia Dortmund,17310000,15,"5,00",1154000,3462000
34503,Konstantelias,Borussia Dortmund,11060000,12,"12,00",921667,921667
34505,Veerman,Borussia Dortmund,10590000,15,"3,75",706000,2824000
34507,dos Santos,Borussia Dortmund,600000,0,-,,
34364,Kaba,Borussia Dortmund,210000,0,-,,
34519,Nwaneri,Borussia Dortmund,9850000,13,"4,33",757692,2274827
32590,Sabitzer,Borussia Dortmund,3220000,8,"2,67",402500,1205993
33208,Beier,Borussia Dortmund,7180000,22,"5,50",326364,1305455
33498,F. Nmecha,Borussia Dortmund,11810000,35,"8,75",337429,1349714
34117,Chukwuemeka,Borussia Dortmund,1540000,2,"2,00",770000,770000
34200,Bellingham,Borussia Dortmund,9280000,27,"6,75",343704,1374815
34283,Fábio Silva,Borussia Dortmund,9170000,19,"6,33",482632,1448657
32667,Guirassy,Borussia Dortmund,15330000,32,"8,00",479062,1916250
34347,Inácio,Borussia Dortmund,3120000,-4,"-4,00",-780000,-780000
34362,Albert,Borussia Dortmund,1100000,0,-,,
33919,Vandevoordt,RB Leipzig,2990000,23,"5,75",130000,520000
32267,Zingerle,RB Leipzig,160000,0,-,,
32481,Nyland,RB Leipzig,580000,0,-,,
34479,Estève,RB Leipzig,4310000,16,"5,33",269375,808630
34431,Koné,RB Leipzig,540000,0,-,,
31846,W. Orbán,RB Leipzig,7830000,33,"8,25",237273,949091
33848,Finkgräfe,RB Leipzig,490000,2,"2,00",245000,245000
33837,Lukeba,RB Leipzig,3720000,8,"4,00",465000,930000
33436,Raum,RB Leipzig,8540000,21,"5,25",406667,1626667
32461,Henrichs,RB Leipzig,2910000,8,"4,00",363750,727500
32581,Klostermann,RB Leipzig,390000,0,-,,
32889,Baku,RB Leipzig,7310000,31,"7,75",235806,943226
33353,Reitz,RB Leipzig,5750000,12,"12,00",479167,479167
34348,Kaltefleiter,RB Leipzig,170000,0,-,,
34238,Maksimović,RB Leipzig,3390000,10,"5,00",339000,678000
34185,Banzuzi,RB Leipzig,4240000,8,"2,00",530000,2120000
34042,Gebel,RB Leipzig,170000,0,-,,
34518,El Aynaoui,RB Leipzig,7160000,13,"4,33",550769,1653580
33991,Ouédraogo,RB Leipzig,4050000,6,"6,00",675000,675000
32977,Baumgartner,RB Leipzig,8100000,0,-,,
33695,Gruda,RB Leipzig,8000000,13,"4,33",615385,1847575
33769,Seiwald,RB Leipzig,3890000,10,"3,33",389000,1168168
34515,Guiu,RB Leipzig,3420000,1,"1,00",3420000,3420000
33151,Nkunku,RB Leipzig,16740000,24,"6,00",697500,2790000
34309,Konaté,RB Leipzig,650000,1,"1,00",650000,650000
34271,Rômulo,RB Leipzig,7280000,11,"5,50",661818,1323636
34240,Bakayoko,RB Leipzig,1700000,0,"0,00",,
34116,T. Gomis,RB Leipzig,5330000,16,"4,00",333125,1332500
34039,Nusa,RB Leipzig,12370000,34,"8,50",363824,1455294
31827,Blaswich,Bayer 04 Leverkusen,270000,0,-,,
32007,Lomb,Bayer 04 Leverkusen,160000,0,-,,
32925,Flekken,Bayer 04 Leverkusen,2190000,15,"3,75",146000,584000
34498,Medina,Bayer 04 Leverkusen,7260000,24,"6,00",302500,1210000
34496,Gutiérrez,Bayer 04 Leverkusen,9730000,34,"8,50",286176,1144706
34277,Lucas Vázquez,Bayer 04 Leverkusen,1420000,3,"1,00",473333,1420000
34272,Badé,Bayer 04 Leverkusen,2340000,8,"4,00",292500,585000
34217,Quansah,Bayer 04 Leverkusen,4530000,19,"4,75",238421,953684
34520,Doué,Bayer 04 Leverkusen,4220000,2,"2,00",2110000,2110000
33630,Oermann,Bayer 04 Leverkusen,240000,0,-,,
33207,Tapsoba,Bayer 04 Leverkusen,6420000,16,"4,00",401250,1605000
33744,Maza,Bayer 04 Leverkusen,10330000,30,"7,50",344333,1377333
32080,J. Hofmann,Bayer 04 Leverkusen,1420000,4,"4,00",355000,355000
32129,Andrich,Bayer 04 Leverkusen,1660000,5,"2,50",332000,664000
34448,Eichhorn,Bayer 04 Leverkusen,1970000,0,-,,
34289,Fernández,Bayer 04 Leverkusen,7620000,27,"6,75",282222,1128889
33992,García,Bayer 04 Leverkusen,12760000,31,"7,75",411613,1646452
33530,Tillman,Bayer 04 Leverkusen,4430000,11,"3,67",402727,1207084
33853,Tella,Bayer 04 Leverkusen,2500000,0,-,,
33827,Boniface,Bayer 04 Leverkusen,1570000,3,"3,00",523333,523333
34461,Moreira,Bayer 04 Leverkusen,5920000,6,"1,50",986667,3946667
33179,Schick,Bayer 04 Leverkusen,15790000,38,"9,50",415526,1662105
34311,Culbreath,Bayer 04 Leverkusen,1470000,0,-,,
34024,Terrier,Bayer 04 Leverkusen,2020000,2,"2,00",1010000,1010000
34285,Ben Seghir,Bayer 04 Leverkusen,2200000,0,-,,
34234,Kofane,Bayer 04 Leverkusen,7270000,17,"4,25",427647,1710588
33122,Diaby,Bayer 04 Leverkusen,12050000,9,"3,00",1338889,4016667
33747,Seimen,VfB Stuttgart,2150000,0,-,,
33401,M. Funk,VfB Stuttgart,160000,0,-,,
33342,Drljača,VfB Stuttgart,160000,0,-,,
32891,Bredlow,VfB Stuttgart,2450000,19,"4,75",128947,515789
34112,Jaquez,VfB Stuttgart,800000,0,-,,
34050,Al-Dakhil,VfB Stuttgart,350000,0,-,,
34001,Hendriks,VfB Stuttgart,2640000,9,"3,00",293333,880000
32509,Mittelstädt,VfB Stuttgart,10690000,38,"9,50",281316,1125263
32773,Zagadou,VfB Stuttgart,550000,0,-,,
34115,Jeltsch,VfB Stuttgart,4150000,14,"3,50",296429,1185714
34197,Assignon,VfB Stuttgart,760000,0,-,,
33850,Stergiou,VfB Stuttgart,370000,1,"1,00",370000,370000
32880,Vagnoman,VfB Stuttgart,7150000,34,"8,50",210294,841176
33552,Chabot,VfB Stuttgart,4860000,18,"4,50",270000,1080000
34074,Malanga,VfB Stuttgart,160000,0,-,,
34288,El Khannouss,VfB Stuttgart,8950000,23,"5,75",389130,1556522
34488,Yigit,VfB Stuttgart,180000,0,-,,
32492,Prömel,VfB Stuttgart,5290000,10,"2,50",529000,2116000
34523,Spalt,VfB Stuttgart,1840000,6,"6,00",306667,306667
32830,Nartey,VfB Stuttgart,2850000,3,"3,00",950000,950000
33437,Stiller,VfB Stuttgart,8390000,10,"2,50",839000,3356000
33411,Leweling,VfB Stuttgart,5650000,7,"1,75",807143,3228571
32858,Führich,VfB Stuttgart,7310000,12,"4,00",609167,1827500
33085,Karazor,VfB Stuttgart,1630000,0,-,,
33832,Undav,VfB Stuttgart,9710000,7,"1,75",1387143,5548571
34491,Sauer,VfB Stuttgart,2130000,4,"1,33",532500,1601504
33311,Demirović,VfB Stuttgart,7510000,12,"3,00",625833,2503333
