spieler_id,name,form,gespielte_spiele_letzte_5_pct,gespielte_spiele_ampel
33130,Krauß,2.4,40,gelb
34061,Köhn,2.6,40,gelb
33736,Kömür,1.8,80,gruen
34158,Königsdörffer,2.8,80,gruen
32597,Kübler,2.8,100,gruen
32800,Laimer,3.6,100,gruen
33782,Larsson,5.2,60,gelb
33477,Lee,3.2,40,gelb
34355,Lemke,0.0,20,rot
33270,Lemperle,1.6,100,gruen
33411,Leweling,3.6,100,gruen
32807,Lienhart,4.0,100,gruen
34277,Lucas Vázquez,3.2,40,gelb
34254,Luis Díaz,4.0,100,gruen
33837,Lukeba,3.6,60,gelb
33835,Lynen,4.4,100,gruen
32398,M. Eggestein,3.8,100,gruen
32311,M. Friedrich,1.0,0,rot
34111,M. Ljubičić,8.0,0,rot
34213,Machida,1.0,0,rot
33938,Machino,1.0,80,gruen
32881,Maina,2.0,100,gruen
33829,Makengo,2.6,60,gelb
34238,Maksimović,1.8,0,rot
33882,Malatini,0.6,0,rot
33093,Maloney,1.0,60,gelb
34084,Mané,-0.5,0,rot
33356,Martel,2.6,80,gruen
34236,Massengo,3.2,100,gruen
33783,Matanović,6.8,100,gruen
34057,Matsima,1.8,80,gruen
33744,Maza,4.2,100,gruen
34243,Mbangula,2.0,80,gruen
34261,Mike,1.5,0,rot
33812,Milošević,2.2,60,gelb
32509,Mittelstädt,5.6,100,gruen
33885,Moerstedt,1.6,60,gelb
34270,Mohya,3.4,60,gelb
34308,Moreno Fell,0.5,0,rot
34148,Muheim,1.2,40,gelb
34244,Musah,2.0,80,gruen
33236,Musiala,3.6,100,gruen
32178,Mwene,5.6,100,gruen
34017,N. Banks,2.8,20,rot
33038,N. Schlotterbeck,6.0,100,gruen
34354,Nandja,0.0,40,gelb
32830,Nartey,4.8,60,gelb
33296,Nebel,4.0,100,gruen
30755,Neuer,2.4,20,rot
32931,Neuhaus,2.6,0,rot
34352,Neumann,0.0,0,rot
33214,Ngankam,1.67,0,rot
34326,Niang,1.4,80,gruen
32654,Nicolas,6.2,100,gruen
33687,Njinmah,2.4,100,gruen
34098,Nordin,1.4,0,rot
33669,Nsoki,3.0,20,rot
34039,Nusa,5.0,100,gruen
34019,O. Højlund,4.2,60,gelb
33630,Oermann,0.5,0,rot
34021,Ogbus,2.2,100,gruen
34344,Ogundu,1.8,40,gelb
34014,Olise,9.0,100,gruen
34258,Omari,3.6,100,gruen
34357,Osmani,0.0,0,rot
33156,Osterhage,2.0,0,rot
33991,Ouédraogo,2.6,100,gruen
33189,Palacios,4.6,100,gruen
33854,Pavlović,3.2,40,gelb
33134,Pedersen,1.0,20,rot
33254,Pherai,-1.0,0,rot
34216,Philippe,1.8,60,gelb
33224,Pieper,2.8,100,gruen
34264,Poku,2.0,40,gelb
34307,Potulski,4.0,60,gelb
32591,Poulsen,1.6,60,gelb
34034,Prass,0.4,100,gruen
32492,Prömel,1.8,80,gruen
34217,Quansah,4.2,100,gruen
33995,Querfeld,3.8,60,gelb
34144,Raab,9.0,0,rot
33440,Ramaj,4.0,60,gelb
33436,Raum,6.6,40,gelb
34346,Reggiani,4.4,60,gelb
33353,Reitz,6.8,80,gruen
33935,Remberg,4.2,100,gruen
33198,Reyna,3.8,100,gruen
34331,Ribeiro,2.0,100,gruen
33997,Rieder,7.6,100,gruen
33815,Rosenfelder,2.2,0,rot
33567,Rothe,4.0,100,gruen
33141,Ryerson,4.0,100,gruen
34271,Rômulo,2.6,100,gruen
32921,Rönnow,1.6,40,gelb
34156,Røssing-Lelesiit,2.0,0,rot
33135,S. Becker,5.6,100,gruen
34139,S. El Mala,4.4,100,gruen
32590,Sabitzer,4.0,80,gruen
34157,Sahiti,2.0,0,rot
34290,Sambi Lokonga,4.2,80,gruen
33978,Sander,3.0,100,gruen
